Category,State/UT,Number of Victims - Upto 10 Years (Male),Number of Victims  - Upto 10 Years (Female),Number of Victims - Upto 10 Years (Total),Number of Victims - 10-15 Years (Male),Number of Victims -  10-15 Years (Female),Number of Victims -  10-15 Years (Total),Number of Victims - 15-18 Years (Male),Number of Victims - 15-18 Years (Female),Number of Victims - 15-18 Years (Total),Number of Victims - 18-30 Years (Male),Number of Victims - 18-30 Years (Female),Number of Victims - 18-30 Years (Total),Number of Victims - 30-50 Years (Male),Number of Victims - 30-50 Years (Female),Number of Victims - 30-50 Years (Total),Number of Victims - Above 50 Years (Male),Number of Victims - Above 50 Years (Female),Number of Victims - Above 50 Years (Total),Number of Victims - Total of All Age Groups (Male),Number of Victims - Total of All Age Groups (Female),Number of Victims - Total of All Age Groups (Total),
State,Andhra Pradesh,19,26,45,8,16,24,29,10,39,874,415,1289,828,352,1180,206,67,273,1964,886,2850,
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,41,3,44,23,0,23,1,0,1,65,3,68,
State,Assam,0,0,0,1,0,1,1,0,1,766,51,817,421,37,458,97,0,97,1286,88,1374,
State,Bihar,12,4,16,23,0,23,41,15,56,1451,237,1688,1012,120,1132,152,14,166,2691,390,3081,
State,Chhattisgarh,10,3,13,11,4,15,14,3,17,281,100,381,315,129,444,156,71,227,787,310,1097,
State,Goa,0,2,2,0,0,0,0,0,0,3,6,9,11,4,15,4,4,8,18,16,34,
State,Gujarat,38,33,71,10,5,15,13,5,18,289,117,406,451,126,577,99,28,127,900,314,1214,
State,Haryana,19,14,33,20,8,28,29,9,38,332,84,416,322,45,367,53,7,60,775,167,942,
State,Himachal Pradesh,3,2,5,2,1,3,1,1,2,31,15,46,46,14,60,14,2,16,97,35,132,
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,170,26,196,140,12,152,16,2,18,326,40,366,
State,Jharkhand,0,2,2,12,1,13,5,5,10,550,87,637,711,115,826,102,27,129,1380,237,1617,
State,Karnataka,15,17,32,5,4,9,6,6,12,381,289,670,541,148,689,133,41,174,1081,505,1586,
State,Kerala,17,22,39,8,1,9,1,4,5,54,34,88,115,52,167,57,28,85,252,141,393,
State,Madhya Pradesh,48,33,81,27,7,34,34,11,45,697,253,950,741,183,924,217,64,281,1764,551,2315,
State,Maharashtra,92,73,165,24,15,39,27,19,46,654,521,1175,723,297,1020,259,89,348,1779,1014,2793,
State,Manipur,1,0,1,1,0,1,4,2,6,140,8,148,121,8,129,8,2,10,275,20,295,
State,Meghalaya,0,2,2,3,0,3,7,0,7,36,3,39,52,2,54,9,0,9,107,7,114,
State,Mizoram,0,0,0,0,1,1,1,1,2,15,11,26,7,5,12,2,0,2,25,18,43,
State,Nagaland,0,1,1,0,0,0,1,1,2,42,9,51,58,3,61,3,0,3,104,14,118,
State,Orissa,4,2,6,10,2,12,11,4,15,395,242,637,405,116,521,38,6,44,863,372,1235,
State,Punjab,7,3,10,8,5,13,6,4,10,266,120,386,247,75,322,67,18,85,601,225,826,
State,Rajasthan,18,10,28,17,12,29,26,6,32,393,143,536,483,123,606,103,25,128,1040,319,1359,
State,Sikkim,0,0,0,0,1,1,0,0,0,3,2,5,2,0,2,1,0,1,6,3,9,
State,Tamil Nadu,18,31,49,6,8,14,2,3,5,346,261,607,507,215,722,228,86,314,1107,604,1711,
State,Tripura,0,3,3,4,0,4,2,2,4,33,19,52,44,18,62,17,8,25,100,50,150,
State,Uttar Pradesh,37,24,61,97,63,160,102,74,176,2050,382,2432,1619,288,1907,378,68,446,4283,899,5182,
State,Uttarakhand,3,2,5,1,3,4,5,0,5,111,53,164,53,12,65,18,7,25,191,77,268,
State,West Bengal,1,7,8,2,0,2,2,3,5,527,441,968,417,175,592,57,21,78,1006,647,1653,
State,Total (States),362,316,678,300,157,457,370,188,558,10931,3932,14863,10415,2674,13089,2495,685,3180,24873,7952,32825,
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,3,3,6,4,2,6,2,1,3,9,6,15,
Union Territory,Chandigarh,0,2,2,0,0,0,0,0,0,7,3,10,7,0,7,0,1,1,14,6,20,
Union Territory,D & N Haveli,1,0,1,0,0,0,0,0,0,1,2,3,4,2,6,0,0,0,6,4,10,
Union Territory,Daman & Diu,1,0,1,1,0,1,0,0,0,3,1,4,2,0,2,4,0,4,11,1,12,
Union Territory,Delhi,14,10,24,5,3,8,20,5,25,205,71,276,112,25,137,28,13,41,384,127,511,
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Union Territory,Puducherry,1,1,2,0,0,0,1,0,1,17,4,21,5,3,8,1,2,3,25,10,35,
Union Territory,Total (UTs),17,13,30,6,3,9,21,5,26,236,84,320,134,32,166,35,17,52,449,154,603,
All - India,Total (All-India),379,329,708,306,160,466,391,193,584,11167,4016,15183,10549,2706,13255,2530,702,3232,25322,8106,33428,
,,,,,,,,,,,,,,,,,,,,,,,
