Category (Col.1),State/UT (Col.2),Total No. of Cases for Trial Including Pending Cases from previous year (Col.3),Cases Withdrawn By Govt (Col.4),No. of Cases Compounded or Withdrawn (Col.5),No. of Cases In Which Trials Completed - Convicted (Col.6),No. of Cases In Which Trials Completed - Acquitted or Discharged (Col.7),No. of Cases In Which Trials Completed - Total (Col.8) = Col.{(6) + (7)),No. of Cases Pending Trial at the end of the year (Col.9),Pendency Percentage (Col.10),Percentage of Pendency To All India Total (Col.11),Conviction Rate (Col.12) = ((Col.6) / (Col.8) × 100)
State,Andhra Pradesh,1321,0,1,53,344,397,923,69.9,6,13.4
State,Arunachal Pradesh,166,0,0,0,0,0,166,100,1.1,0
State,Assam,197,0,0,31,50,81,116,58.9,0.8,38.3
State,Bihar,162,0,0,2,33,35,127,78.4,0.8,5.7
State,Chhattisgarh,1818,0,28,137,192,329,1461,80.4,9.5,41.6
State,Goa,1,0,0,0,0,0,1,100,0,0
State,Gujarat,1761,0,0,6,133,139,1622,92.1,10.5,4.3
State,Haryana,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,17,0,0,0,4,4,13,76.5,0.1,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,755,0,7,56,201,257,491,65,3.2,21.8
State,Karnataka,847,0,4,4,219,223,620,73.2,4,1.8
State,Kerala,290,0,1,12,95,107,182,62.8,1.2,11.2
State,Madhya Pradesh,5711,0,153,714,982,1696,3862,67.6,25,42.1
State,Maharashtra,2230,0,10,7,393,400,1820,81.6,11.8,1.8
State,Manipur,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,1,0,0,0,0,0,1,100,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0
State,Nagaland,17,0,0,17,0,17,0,0,0,100
State,Orissa,2259,0,0,37,194,231,2028,89.8,13.1,16
State,Punjab,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,2325,0,30,195,323,518,1777,76.4,11.5,37.6
State,Sikkim,28,0,0,10,9,19,9,32.1,0.1,52.6
State,Tamil Nadu,56,0,0,1,5,6,50,89.3,0.3,16.7
State,Tripura,23,0,0,2,2,4,19,82.6,0.1,50
State,Uttar Pradesh,121,0,0,15,10,25,96,79.3,0.6,60
State,Uttarakhand,20,0,0,3,2,5,15,75,0.1,60
State,West Bengal,18,0,0,0,0,0,18,100,0.1,0
State,Total (States),20144,0,234,1302,3191,4493,15417,76.5,99.7,29
Union Territory,A & N Islands,21,0,0,0,0,0,21,100,0.1,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,16,0,0,0,2,2,14,87.5,0.1,0
Union Territory,Daman & Diu,2,0,0,0,0,0,2,100,0,0
Union Territory,Delhi,1,0,0,0,0,0,1,100,0,0
Union Territory,Lakshadweep,1,0,0,0,0,0,1,100,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),41,0,0,0,2,2,39,95.1,0.3,0
All India,Total (All India),20185,0,234,1302,3193,4495,15456,76.6,100,29
