Category,States/ UTs/Cities,IT ACT - 2006,IT ACT - 2007,IT ACT - % Variation,IPC Section - 2006,IPC Section - 2007,IPC Section - % Variation
State,Andhra Pradesh,14,16,14.3,102,53,-48
State,Arunachal Pradesh,0,0,NA,0,0,NA
State,Assam,1,0,-100,0,0,NA
State,Bihar,0,0,NA,0,0,NA
State,Chhattisgarh,0,5,NA,30,52,73.3
State,Goa,0,3,NA,0,1,NA
State,Gujarat,5,1,-80,1,2,100
State,Haryana,1,0,-100,1,1,0
State,Himachal Pradesh,0,0,NA,0,0,NA
State,Jammu & Kashmir,0,0,NA,0,0,NA
State,Jharkhand,0,0,NA,0,0,NA
State,Karnataka,27,40,48.1,0,1,NA
State,Kerala,12,38,216.7,0,0,NA
State,Madhya Pradesh,5,6,20,126,158,25.4
State,Maharashtra,35,49,40,4,1,-75
State,Manipur,0,0,NA,0,0,NA
State,Meghalaya,2,0,-100,0,0,NA
State,Mizoram,0,0,NA,0,0,NA
State,Nagaland,0,0,NA,0,0,NA
State,Orissa,0,0,NA,0,2,NA
State,Punjab,12,14,16.7,26,35,34.6
State,Rajasthan,4,16,300,0,0,NA
State,Sikkim,0,0,NA,0,0,NA
State,Tamil Nadu,8,10,25,0,5,NA
State,Tripura,0,0,NA,0,0,NA
State,Uttar Pradesh,0,5,NA,0,0,NA
State,Uttarakhand,3,1,-66.7,0,0,NA
State,West Bengal,6,2,-66.7,3,2,-33.3
State,Total (states),135,206,52.6,293,313,6.8
Union Territory,A & N Islands,0,0,NA,11,11,0
Union Territory,Chandigarh,2,1,-50,0,0,NA
Union Territory,D & N Haveli,0,0,NA,0,0,NA
Union Territory,Daman & Diu,0,0,NA,0,0,NA
Union Territory,Delhi,5,10,100,7,15,114.3
Union Territory,Lakshadweep,0,0,NA,0,0,NA
Union Territory,Puducherry,0,0,NA,0,0,NA
Union Territory,Total (UTs),7,11,57.1,18,26,44.4
Total (All-India),Total (All-India),142,217,52.8,311,339,9
City,Agra,0,0,NA,0,0,NA
City,Ahmedabad,0,1,NA,1,2,100
City,Allahabad,0,0,NA,0,0,NA
City,Amritsar,0,4,NA,0,0,NA
City,Asansol,0,0,NA,0,0,NA
City,Bengaluru,27,40,48.1,0,1,NA
City,Bhopal,5,5,0,126,158,25.4
City,Chennai,7,4,-42.9,0,0,NA
City,Coimbatore,0,0,NA,0,0,NA
City,Delhi (city),5,10,100,7,15,114.3
City,Dhanbad,0,0,NA,0,0,NA
City,Faridabad,1,0,-100,0,0,NA
City,Hyderabad,0,2,NA,0,0,NA
City,Indore,0,1,NA,0,0,NA
City,Jabalpur,0,0,NA,0,0,NA
City,Jaipur,0,0,NA,0,0,NA
City,Jamshedpur,0,0,NA,0,0,NA
City,Kanpur,0,1,NA,0,0,NA
City,Kochi,3,9,200,1,0,-100
City,Kolkata,6,0,-100,3,2,-33.3
City,Lucknow,0,3,NA,0,0,NA
City,Ludhiana,3,2,-33.3,0,0,NA
City,Madurai,0,0,NA,0,0,NA
City,Meerut,0,0,NA,0,0,NA
City,Mumbai,9,9,0,2,1,-50
City,Nagpur,3,8,166.7,1,0,-100
City,Nasik,2,2,0,0,0,NA
City,Patna,0,0,NA,0,0,NA
City,Pune,10,14,40,1,0,-100
City,Rajkot,0,0,NA,0,0,NA
City,Surat,2,0,-100,0,0,NA
City,Vadodara,1,0,-100,0,0,NA
City,Varanasi,0,0,NA,0,0,NA
City,Vijayawada,5,3,-40,0,1,NA
City,Visakhapatnam,0,0,NA,0,0,NA
Total (Cities),Total (Cities),89,118,32.6,142,180,26.8
