Category,State/UT,Total No. of Persons under Arrest Including those from Previous Year,"Number of Persons Released
Before
Trial",Number of Persons Charge Sheeted,Number of Persons under Investigation at the End of the Year,Pendency Percentage,Percentage Pendency to All-India Total
State,Andhra Pradesh,5842,341,3963,1538,26.3,15.4
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,414,89,115,210,50.7,2.1
State,Bihar,7194,356,3734,3104,43.1,31.1
State,Chhattisgarh,1220,9,1183,28,2.3,0.3
State,Goa,0,0,0,0,0,0
State,Gujarat,2924,0,2808,116,4,1.2
State,Haryana,388,0,346,42,10.8,0.4
State,Himachal Pradesh,87,2,72,13,14.9,0.1
State,Jammu & Kashmir,4,0,3,1,25,0
State,Jharkhand,894,0,488,406,45.4,4.1
State,Karnataka,4875,41,4527,307,6.3,3.1
State,Kerala,875,43,483,349,39.9,3.5
State,Madhya Pradesh,8934,0,8846,88,1,0.9
State,Maharashtra,4173,71,3450,652,15.6,6.5
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,2540,11,2207,322,12.7,3.2
State,Punjab,579,25,193,361,62.3,3.6
State,Rajasthan,3663,0,3642,21,0.6,0.2
State,Sikkim,10,0,10,0,0,0
State,Tamil Nadu,3017,88,2108,821,27.2,8.2
State,Tripura,20,1,6,13,65,0.1
State,Uttar Pradesh,17630,2765,13327,1538,8.7,15.4
State,Uttarakhand,139,11,116,12,8.6,0.1
State,West Bengal,31,2,9,20,64.5,0.2
State,Total (States),65453,3855,51636,9962,15.2,99.8
Union Territory,A & N Islands,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0
Union Territory,D & N Haveli,1,0,1,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,29,0,13,16,55.2,0.2
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Puducherry,61,0,55,6,9.8,0.1
Union Territory,Total (UTs),91,0,69,22,24.2,0.2
All India,Total (All India),65544,3855,51705,9984,15.2,100
