Category (Col. 1),States/ UTs (Col. 2),No. of Reported Cases Where the Loss of Property Under - Criminal Breach of Trust Worth Rs. (Col. 3) - 1-10 Crore,No. of Reported Cases Where the Loss of Property Under - Criminal Breach of Trust Worth Rs. (Col. 4) - 10-25 Crore,No. of Reported Cases Where the Loss of Property Under - Criminal Breach of Trust Worth Rs. (Col. 5) - 25-50 Crore,No. of Reported Cases Where the Loss of Property Under - Criminal Breach of Trust Worth Rs. (Col. 6) - 50-100 Crore,No. of Reported Cases Where the Loss of Property Under - Criminal Breach of Trust Worth Rs. (Col. 7) - Above 100 Crore,No. of Reported Cases Where the Loss of Property Under - Criminal Breach of Trust Worth Rs. (Col. 8) - Total,No. of Reported Cases Where the Loss of Property Under - Cheating Worth Rs. (Col. 9) - 1-10 Crore,No. of Reported Cases Where the Loss of Property Under - Cheating Worth Rs. (Col. 10) - 10-25 Crore,No. of Reported Cases Where the Loss of Property Under - Cheating Worth Rs. (Col. 11) - 25-50 Crore,No. of Reported Cases Where the Loss of Property Under - Cheating Worth Rs. (Col. 12) - 50-100 Crore,No. of Reported Cases Where the Loss of Property Under - Cheating Worth Rs. (Col. 13) - Above 100 Crore,No. of Reported Cases Where the Loss of Property Under - Cheating Worth Rs. (Col. 14) - Total,Grand Total (Col. 15) = Col. (8+14)
State,Andhra Pradesh,1,0,0,0,0,1,3,0,0,0,0,3,4
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Goa,1,0,0,0,0,1,0,0,0,0,0,0,1
State,Gujarat,6,0,0,0,0,6,11,1,0,0,0,12,18
State,Haryana,0,0,0,0,0,0,1,0,15,0,0,16,16
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,12,0,0,0,0,12,5,0,0,0,0,5,17
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0,1,0,0,0,0,1,1
State,Kerala,1,0,0,0,0,1,4,0,0,0,0,4,5
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,34,3,0,0,1,38,25,4,0,0,0,29,67
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,6,0,0,0,0,6,25,0,0,0,0,25,31
State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Sikkim,7,0,0,0,0,7,34,0,0,0,0,34,41
State,Tamil Nadu,2,0,0,0,0,2,26,1,0,0,1,28,30
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,2,0,0,1,0,3,7,1,0,0,0,8,11
State,Total (States),72,3,0,1,1,77,142,7,15,0,1,165,242
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,1,0,0,0,0,1,0,0,0,0,0,0,1
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,1,0,0,0,0,1,1
Union Territory,Delhi,1,0,0,0,0,1,4,0,6,0,0,10,11
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),2,0,0,0,0,2,5,0,6,0,0,11,13
Union Territory,Total (All-India),74,3,0,1,1,79,147,7,21,0,1,176,255
