Crime Head (Col.1),Cases Withdrawn by Govt. (Col.2),Percentage of Cases to Total Cases for Investigation in which Investigation Refused (Col.3),Percentage of Cases to Total Cases for Investigation in which Investigation Completed - ChargeFound False/Mistake of Fact Or Law Etc. (Col.4),Percentage of Cases to Total Cases for Investigation in which Investigation Completed - Final Report True Submitted (Col.5),Percentage of Cases to Total Cases for Investigation in which Investigation Completed - Charge Sheets Submitted (Col.6),Percentage of Cases to Total Cases for Investigation in which Investigation Completed - Total (Col.7) = Col.{(4) + (5) + (6)},No. of Cases Pending Investigation at the end of the year (Col.8),Charge Sheeting Rate (Col.9) = Col.(6 / 5+ 6 × 100)
"Murder (Sec. 302,303 IPC)",0,0,4.5,4.1,72.5,81,19,94.6
Rape (Sec.376 IPC),0,0,8.5,2.4,72.3,83.2,16.8,96.8
"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",0,0,9,11.3,61.1,81.4,18.6,84.3
Dacoity (Sec.395-398 IPC),0,0,13.5,10.8,51.4,75.7,24.3,82.6
"Robbery (392-394, 397,398 IPC)",0,0,5.2,19.3,50.4,74.8,25.2,72.3
"Arson (Sec.435, 436, 438 IPC)",0,0,12.1,8,50.8,70.9,29.1,86.4
"Hurt (Sec.323-333, 335-338 IPC)",0,0.1,12,4,60.9,77,22.9,93.8
"PCR Act, 1955 for SCs",0,0.2,17.7,11,54.9,83.5,16.5,83.3
"SC/ST Prev. of Atrocities Act, 1989 for SCs",0.1,0.2,14.1,6.5,47,67.6,32.2,87.9
Other Crime,0,0.1,20.9,5.6,59.1,85.6,14.2,91.3
Total,0,0.1,16.1,5.8,55.6,77.4,22.4,90.6
