Category,State/UT,Total No. of Persons under Arrest Including those from Previous Year,"Number of Persons Released
Before
Trial",Number of Persons Charge Sheeted,Number of Persons under Investigation at the End of the Year,Pendency Percentage,Percentage Pendency to All-India Total
State,Andhra Pradesh,1242,23,867,352,28.3,31.9
State,Arunachal Pradesh,26,8,17,1,3.8,0.1
State,Assam,290,56,110,124,42.8,11.2
State,Bihar,220,24,110,86,39.1,7.8
State,Chhattisgarh,834,9,823,2,0.2,0.2
State,Goa,0,0,0,0,0,0
State,Gujarat,412,2,389,21,5.1,1.9
State,Haryana,0,0,0,0,0,0
State,Himachal Pradesh,25,0,16,9,36,0.8
State,Jammu & Kashmir,0,0,0,0,0,0
State,Jharkhand,295,0,218,77,26.1,7
State,Karnataka,379,12,333,34,9,3.1
State,Kerala,176,6,81,89,50.6,8.1
State,Madhya Pradesh,2870,0,2833,37,1.3,3.4
State,Maharashtra,886,9,708,169,19.1,15.3
State,Manipur,4,0,0,4,100,0.4
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,765,0,716,49,6.4,4.4
State,Punjab,0,0,0,0,0,0
State,Rajasthan,938,0,934,4,0.4,0.4
State,Sikkim,30,0,28,2,6.7,0.2
State,Tamil Nadu,43,0,15,28,65.1,2.5
State,Tripura,11,1,8,2,18.2,0.2
State,Uttar Pradesh,6,0,6,0,0,0
State,Uttarakhand,8,0,8,0,0,0
State,West Bengal,13,1,0,12,92.3,1.1
State,Total (States),9473,151,8220,1102,11.6,99.8
Union Territory,A & N Islands,2,0,0,2,100,0.2
Union Territory,Chandigarh,0,0,0,0,0,0
Union Territory,D & N Haveli,5,0,5,0,0,0
Union Territory,Daman & Diu,2,0,2,0,0,0
Union Territory,Delhi,0,0,0,0,0,0
Union Territory,Lakshadweep,1,0,1,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0
Union Territory,Total (UTs),10,0,8,2,20,0.2
All India,Total (All India),9483,151,8228,1104,11.6,100
