Year,Estimated Mid-Year Population (In Lakhs)*,Incidence - IPC,Incidence - SLL,Incidence - Total,Rate - IPC,Rate - SLL,Rate - Total,Percentage of IPC Crimes to Total Cognizable Crimes,Note of Estimated Mid-Year Population (In Lakhs)*,Note of Incidence - SLL
1997,9552,1719820,4691439,6411259,180,491.1,671.2,26.8,NA,NA
1998,9709,1778815,4403288,6182103,183.2,453.5,636.7,28.8,NA,NA
1999,9866,1764629,3147101,4911730,178.9,319,497.8,35.9,NA,NA
2000,10021,1771084,3396666,5167750,176.7,338.9,515.7,34.3,NA,NA
2001,10270,1769308,3575230,5344538,172.3,348.1,520.4,33.1,**,#
2002,10506,1780330,3746198,5526528,169.5,356.6,526,32.2,NA,NA
2003,10682,1716120,3778694,5494814,160.7,353.7,514.4,31.2,NA,NA
2004,10856,1832015,4196766,6028781,168.8,386.6,555.3,30.4,NA,NA
2005,11028,1822602,3203735,5026337,165.3,290.5,455.8,36.3,NA,##
2006,11198,1878293,3224167,5102460,167.7,287.9,455.7,36.8,NA,NA
2007,11366,1989673,3743734,5733407,175.1,329.4,504.5,34.7,NA,NA
PERCENTAGE CHANGE IN 2007 OVER 1997,19,15.7,-20.2,-10.6,-2.8,-32.9,-24.8,29.4,NA,NA
COMPOUND GROWTH RATE PER ANNUM,1.8,1,-1.7,-0.8,-0.8,-3.4,-2.6,1.8,NA,NA
