Year,7-12 Years,7-12 Years - Percentage to Total,12-16 Years,12-16 Years - Percentage to Total,16-18 Years,16-18 Years - Percentage To Total,Total Apprehended
1997,2747,15.4,12171,68.4,2878,16.2,17796
1998,3336,17.6,11548,61,4039,21.3,18923
1999,4039,21.9,10311,55.9,4110,22.3,18460
2000,3292,18.3,11389,63.3,3301,18.4,17982
2001,3696,11,12729,37.9,17203,51.2,33628
2002,4488,12.5,13864,38.7,17427,48.7,35779
2003,3584,10.8,11687,35.1,18049,54.2,33320
2004,2107,6.8,12415,40.1,16421,53.1,30943
2005,1645,5,13090,40.1,17946,54.9,32681
2006,1595,5,12535,39,18015,56,32145
2007,1460,4.2,12114,35.1,20953,60.7,34527
Percentage Change In 2007 Over 1997,-46.9,NA,-0.5,NA,628,NA,94
Percentage Change In 2007 Over 2006,-8.5,NA,-3.4,NA,16.3,NA,7.4
