Category,States/ UTs/ Cities,Offences by / Against Public Servant,False electronic evidence,Destruction of electronic evidence,Forgery,Criminal Breach of Trust / Fraud,Counterfeiting - Property mark,Counterfeiting - Tampering,Counterfeiting - Currency / Stamps,Total
State,Andhra Pradesh,0,0,0,22,15,8,0,8,53
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,26,12,0,0,14,52
State,Goa,0,0,0,1,0,0,0,0,1
State,Gujarat,0,0,0,2,0,0,0,0,2
State,Haryana,0,0,0,0,0,0,0,1,1
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0
State,Karnataka,0,0,0,1,0,0,0,0,1
State,Kerala,0,0,0,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,133,20,0,5,0,158
State,Maharashtra,0,0,0,1,0,0,0,0,1
State,Manipur,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,0,2,0,0,0,0,2
State,Punjab,0,0,0,6,17,0,0,12,35
State,Rajasthan,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,5,0,0,0,0,5
State,Tripura,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,0,0,0,0,0,0
State,Uttarakhand,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,1,1,0,0,0,2
State,Total (states),0,0,0,200,65,8,5,35,313
Union Territory,A & N Islands,0,0,0,3,7,0,0,1,11
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,14,1,0,0,0,15
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,17,8,0,0,1,26
Total (All-India),Total (All-India),0,0,0,217,73,8,5,36,339
City,Agra,0,0,0,0,0,0,0,0,0
City,Ahmedabad,0,0,0,2,0,0,0,0,2
City,Allahabad,0,0,0,0,0,0,0,0,0
City,Amritsar,0,0,0,0,0,0,0,0,0
City,Asansol,0,0,0,0,0,0,0,0,0
City,Bengaluru,0,0,0,1,0,0,0,0,1
City,Bhopal,0,0,0,133,20,0,5,0,158
City,Chennai,0,0,0,0,0,0,0,0,0
City,Coimbatore,0,0,0,0,0,0,0,0,0
City,Delhi (City),0,0,0,14,1,0,0,0,15
City,Dhanbad,0,0,0,0,0,0,0,0,0
City,Faridabad,0,0,0,0,0,0,0,0,0
City,Hyderabad,0,0,0,0,0,0,0,0,0
City,Indore,0,0,0,0,0,0,0,0,0
City,Jabalpur,0,0,0,0,0,0,0,0,0
City,Jaipur,0,0,0,0,0,0,0,0,0
City,Jamshedpur,0,0,0,0,0,0,0,0,0
City,Kanpur,0,0,0,0,0,0,0,0,0
City,Kochi,0,0,0,0,0,0,0,0,0
City,Kolkata,0,0,0,1,1,0,0,0,2
City,Lucknow,0,0,0,0,0,0,0,0,0
City,Ludhiana,0,0,0,0,0,0,0,0,0
City,Madurai,0,0,0,0,0,0,0,0,0
City,Meerut,0,0,0,0,0,0,0,0,0
City,Mumbai,0,0,0,1,0,0,0,0,1
City,Nagpur,0,0,0,0,0,0,0,0,0
City,Nasik,0,0,0,0,0,0,0,0,0
City,Patna,0,0,0,0,0,0,0,0,0
City,Pune,0,0,0,0,0,0,0,0,0
City,Rajkot,0,0,0,0,0,0,0,0,0
City,Surat,0,0,0,0,0,0,0,0,0
City,Vadodara,0,0,0,0,0,0,0,0,0
City,Varanasi,0,0,0,0,0,0,0,0,0
City,Vijayawada,0,0,0,1,0,0,0,0,1
City,Visakhapatnam,0,0,0,0,0,0,0,0,0
Total (Cities),Total (Cities),0,0,0,153,22,0,5,0,180
