Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Subs. Act,Immoral Traffic (Prevention) Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act for SCs,Protection of Civil Rights Act for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copyright Act,Sati Prevention Act,SC/ST (Prev of Atrocities) Act - Total,SC/ST (Prev of Atrocities) Act for SCs,SC/ST (Prev of Atrocities) Act for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
State,Andhra Pradesh,2,2,0,9,1,0,9,0,0,0,0,0,1,0,0,0,5,1,0,7,0,1,1,0,0,114,152
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,43,2,0,9,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,7,73
State,Chhattisgarh,17,8,126,46,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,6,7,0,236,451
State,Goa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Gujarat,2,2,96,0,308,0,5,0,0,0,0,0,0,1,0,0,0,0,0,4,0,6,6,0,0,178,602
State,Haryana,12,8,160,150,0,1,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,41,383
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,42
State,Karnataka,2,7,9,5,0,0,8,0,0,0,0,0,0,0,0,0,40,0,0,1,0,3,3,0,0,38,113
