States/ UTs,Cities,Murder (Sec.302&303 IPC),Attempt to Commit Murder (Sec.307 IPC),C.H. Not Amounting to Murder (Sec.304&308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) Custodial,Rape (Sec.376 IPC) Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 – 402 IPC),"Robbery (Sec. 392 – 394, 397 & 398 IPC)","Burglary (Sec. 449 – 452, 454, 455, 457 – 460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots Riots (Sec. 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 – 409 IPC),"Cheating (Sec. 419, 420 IPC)","Counterfeiting (Sec. 231-254, 489A-489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323-333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
ANDHRA PRADESH,CYBERABAD,186,84,8,45,0,45,147,100,47,21,4,90,1165,2928,1124,1804,88,103,1192,5,74,3641,41,118,55,881,0,1188,2172,14236
ANDHRA PRADESH,HYDERABAD,121,147,9,58,0,58,148,74,74,6,0,96,993,4542,1685,2857,214,116,1669,7,37,4352,41,216,128,1365,0,502,2624,17391
ANDHRA PRADESH,VIJAYAWADA,33,44,3,17,0,17,64,49,15,0,0,31,225,1377,326,1051,2,44,339,3,18,1671,10,131,202,531,0,265,577,5587
ANDHRA PRADESH,VISAKHAPATNAM,21,23,1,24,0,24,39,23,16,9,1,24,370,1215,417,798,24,65,285,16,9,513,14,100,25,535,0,255,1912,5480
ASSAM,GUWAHATI,68,11,19,71,0,71,284,135,149,14,0,81,458,1941,1380,561,73,90,109,15,12,205,6,24,0,106,0,164,178,3929
BIHAR,PATNA,152,72,7,42,0,42,228,46,182,22,0,328,509,1223,923,300,231,43,171,3,0,48,30,16,0,195,0,76,5548,8944
CHHATTISGARH,DURG,35,16,2,45,0,45,21,18,3,5,2,25,254,549,272,277,25,7,49,0,10,216,3,73,6,81,0,150,1984,3558
CHHATTISGARH,RAIPUR,40,43,1,37,0,37,30,25,5,3,1,34,379,794,443,351,70,33,67,11,12,745,5,81,15,62,0,179,1534,4176
DELHI UT,DELHI (CITY),411,458,80,524,0,524,1460,1021,439,30,203,501,1868,15962,8322,7640,72,418,2214,37,26,1536,111,744,148,1711,0,208,22173,50895
GUJARAT,AHMEDABAD,100,44,2,37,0,37,213,147,66,13,3,417,677,4302,2316,1986,133,188,204,9,0,1421,4,104,13,1221,0,252,7953,17310
