Crime Head (Col.1),Cases Withdrawn By Govt (Col.2),Percentage of Cases to Total Cases for Trial Compounded orWithdrawn (Col.3),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Convicted (Col.4),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Acquitted or Discharged (Col.5),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Total (Col.6) = Col.{(4) + (5)},Percentage of Cases to Total Cases for Trial Pending Trial at the end of the year (Col.7),Conviction Rate (Col.8) = Col.{(4)/(6) × 100}
Murder (Sec.302 & 303 IPC),0,0,5.2,9.5,14.7,85.3,35.5
Attempt To Commit Murder (Sec. 307 IPC),0,0.2,4.9,10.8,15.7,84,31.2
"C.H. Not Amounting Murder (Sec.304 , 308 IPC)",0,0.1,5.5,10.6,16.1,83.8,34.2
Rape (Sec. 376 IPC),0,0.1,4.7,13.2,17.9,82,26.4
Rape (Sec. 376 IPC) - Custodial Rape,0,0,0,14.3,0,85.7,0
Rape (Sec. 376 IPC) - Other Rape,0,0.1,4.7,13.2,17.9,82,26.4
"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",0,0.6,3.4,10.1,13.5,85.9,25
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls",0,0.6,3.4,10.1,13.5,85.9,25.2
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others",0,0.5,3.3,10.1,13.4,86.1,24.6
Dacoity (Sec.395-398 IPC),0,0,2.7,8.8,11.5,88.5,23.4
Preparation & Assembly For Dacoity (Sec.399 To 402 IPC),0,0,3.6,10.4,14,86,25.9
"Robbery (Sec.392-394, 397,398 IPC)",0,0.1,3.1,7.6,10.7,89.2,29.3
"Burglary (Sec.449-452,454,455,457-460 IPC)",0,0.4,4,7,11,88.6,36.4
Theft (Sec.379 – 382 IPC),0,0.3,4.4,6.5,10.9,88.8,40.5
Theft (Sec.379 – 382 IPC) - Auto Theft,0,0.1,5.5,7,12.5,87.4,44.2
Theft (Sec.379 – 382 IPC) - Other Theft,0,0.3,4.2,6.4,10.6,89.1,39.5
"Riots (Sec.143-145, 147-151, 153,153a,153b,157,158,160 IPC)",0.1,1.2,1.9,8,9.8,89,19.1
Criminal Breach of Trust (Sec.406-409 IPC),0,0.5,2.2,5.8,8,91.5,27.2
"Cheating (Sec.419,420 IPC)",0,1.1,2.4,7.2,9.6,89.3,24.8
"Counterfeiting (Sec.231-254, 489a-489d IPC)",0,0.1,4.2,9.2,13.4,86.5,31.2
"Arson (Sec.435,436,438 IPC)",0,0.6,2.9,11.2,14.1,85.3,20.4
"Hurt (Sec.323-333,335-338 IPC)",0.1,4.9,3.9,8.7,12.6,82.5,31.2
Dowry Deaths (Sec.304b IPC),0,0.3,6.2,12.7,18.9,80.8,33
Molestation (Sec. 354 IPC),0,3.8,3.8,9.3,13.2,83.1,29
Sexual Harassment (Sec.509 IPC),0,3.3,11.2,11.2,22.4,74.3,49.9
Cruelty by Husband And Relatives (Sec. 498a IPC),0,2.4,2.6,9.6,12.2,85.4,20.9
Importation of Girls (Sec.366b IPC),0,0.7,1.7,12.5,14.2,85.1,11.9
Causing Death by Negligence (Sec. 304a IPC),0,0.8,5.3,9.4,14.7,84.5,36.3
Other IPC Crimes,0,2.1,8.5,7.2,15.7,82.1,53.9
Total Cognizable Crimes,0,2,5.8,7.9,13.7,84.2,42.3
