Category,States/ UTs,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total,Percentage of Female to Total
State,Andhra Pradesh,708211,8878,717089,1.2
State,Arunachal Pradesh,51,1,52,1.9
State,Assam,3843,53,3896,1.4
State,Bihar,15824,351,16175,2.2
State,Chhattisgarh,209215,11469,220684,5.2
State,Goa,3010,217,3227,6.7
State,Gujarat,171381,64025,235406,27.2
State,Haryana,24539,359,24898,1.4
State,Himachal Pradesh,4160,507,4667,10.9
State,Jammu & Kashmir,3598,117,3715,3.1
State,Jharkhand,3969,340,4309,7.9
State,Karnataka,38087,2300,40387,5.7
State,Kerala,101776,487,102263,0.5
State,Madhya Pradesh,231047,1610,232657,0.7
State,Maharashtra,154251,11109,165360,6.7
State,Manipur,903,23,926,2.5
State,Meghalaya,120,12,132,9.1
State,Mizoram,941,213,1154,18.5
State,Nagaland,367,68,435,15.6
State,Orissa,14506,911,15417,5.9
State,Punjab,24620,1549,26169,5.9
State,Rajasthan,48178,723,48901,1.5
State,Sikkim,174,56,230,24.3
State,Tamil Nadu,479397,52422,531819,9.9
State,Tripura,206,0,206,0
State,Uttar Pradesh,1499801,1418,1501219,0.1
State,Uttarakhand,137667,3900,141567,2.8
State,West Bengal,9824,806,10630,7.6
State,Total (States),3889666,163924,4053590,4
Union Territory,A & N Islands,5211,737,5948,12.4
Union Territory,Chandigarh,1141,40,1181,3.4
Union Territory,D & N Haveli,32,2,34,5.9
Union Territory,Daman & Diu,52,13,65,20
Union Territory,Delhi,22530,2241,24771,9
Union Territory,Lakshadweep,11,0,11,0
Union Territory,Puducherry,1623,23,1646,1.4
Union Territory,Total (UTs),30600,3056,33656,9.1
Total (All-India),Total (All-India),3920266,166980,4087246,4.1
