Category,States/ UTs,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Boys,12 - 16 Years - Girls,16 - 18 Years - Boys,16 - 18 Years - Girls,Total for all Age Groups - Boys,Total for all Age Groups - Girls,Total (Boys + Girls)
State,Andhra Pradesh,0,0,15,1,115,21,130,22,152
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,18,0,55,0,73,0,73
State,Chhattisgarh,11,2,269,4,160,5,440,11,451
State,Goa,0,0,0,0,1,0,1,0,1
State,Gujarat,12,1,133,21,369,66,514,88,602
State,Haryana,1,2,34,0,339,7,374,9,383
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,30,12,30,12,42
State,Karnataka,4,0,36,0,55,18,95,18,113
State,Kerala,0,0,5,0,39,1,44,1,45
State,Madhya Pradesh,9,0,198,9,713,14,920,23,943
State,Maharashtra,11,0,120,7,435,17,566,24,590
State,Manipur,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,1,0,1,0,1
State,Mizoram,1,0,6,0,4,0,11,0,11
State,Nagaland,0,0,0,0,0,0,0,0,0
State,Orissa,0,1,14,2,12,2,26,5,31
State,Punjab,2,0,10,1,11,0,23,1,24
State,Rajasthan,1,0,33,1,99,21,133,22,155
State,Sikkim,0,0,0,0,4,0,4,0,4
State,Tamil Nadu,214,30,415,9,210,3,839,42,881
State,Tripura,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1,0,2,0,9,1,12,1,13
State,Uttarakhand,0,0,9,0,3,1,12,1,13
State,West Bengal,5,1,18,1,17,3,40,5,45
State,Total (States),272,37,1335,56,2681,192,4288,285,4573
Union Territory,A & N Islands,0,0,18,0,28,0,46,0,46
Union Territory,Chandigarh,0,0,3,0,0,0,3,0,3
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,1,0,22,0,104,7,127,7,134
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),1,0,43,0,132,7,176,7,183
Total (All-India),Total (All-India),273,37,1378,56,2813,199,4464,292,4756
