Category (Col. 1),States/ UTs (Col. 2),No. of Police Personnel having Natural Death While In Service (Col. 3) - 18-25 - Years,No. of Police Personnel having Natural Death While In Service (Col. 4) - 25-35 - Years,No. of Police Personnel having Natural Death While In Service (Col. 5) - 35-45 - Years,No. of Police Personnel having Natural Death While In Service (Col. 6) - 45-55 - Years,No. of Police Personnel having Natural Death While In Service (Col. 7) - Above 55 Years,No. of Police Personnel having Natural Death While In Service (Col. 8) - Total = Col. (3 to 7),No. of Police Personnel Committed Suicide While In Service (Col. 9) - 18-25 Years,No. of Police Personnel Committed Suicide While In Service (Col. 10) - 25-35 Years,No. of Police Personnel Committed Suicide While In Service (Col. 11) - 35-45 Years,No. of Police Personnel Committed Suicide While In Service (Col. 12) - 45-55 Years,No. of Police Personnel Committed Suicide While In Service (Col. 13) - Above 55 Years,No. of Police Personnel Committed Suicide While In Service (Col. 14) - Total = Col. (9 to 13)
State,Andhra Pradesh,1,2,2,15,4,24,1,2,2,15,4,24
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,1,2,0,3,0,0,1,2,0,3
State,Chhattisgarh,1,0,3,2,0,6,1,0,3,2,0,6
State,Goa,0,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,0,1,4,2,0,7,0,1,4,2,0,7
State,Haryana,0,0,2,0,0,2,0,0,2,0,0,2
State,Himachal Pradesh,0,0,0,1,0,1,0,0,0,1,0,1
State,Jammu & Kashmir,0,1,1,2,0,4,0,1,1,2,0,4
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,2,4,5,10,3,24,2,4,5,10,3,24
State,Kerala,0,0,9,9,0,18,0,0,9,9,0,18
State,Madhya Pradesh,0,1,15,17,5,38,0,1,15,17,5,38
State,Maharashtra,2,3,25,8,1,39,2,3,25,8,1,39
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,1,1,0,2,0,0,1,1,0,2
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,1,1,0,0,2,0,1,1,0,0,2
State,Orissa,0,0,1,3,0,4,0,0,1,3,0,4
State,Punjab,0,0,2,0,0,2,0,0,2,0,0,2
State,Rajasthan,0,0,2,0,0,2,0,0,2,0,0,2
State,Sikkim,0,3,0,0,0,3,0,3,0,0,0,3
State,Tamil Nadu,1,7,4,4,0,16,1,7,4,4,0,16
State,Tripura,0,4,0,0,0,4,0,4,0,0,0,4
State,Uttar Pradesh,0,0,3,2,2,7,0,0,3,2,2,7
State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,0,2,1,3,2,8,0,2,1,3,2,8
State,Total (States),7,29,82,81,17,216,7,29,82,81,17,216
Union Territory,A & N Islands,0,1,0,0,0,1,0,1,0,0,0,1
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,1,4,3,0,8,0,1,4,3,0,8
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,1,0,0,0,1,0,1,0,0,0,1
Union Territory,Total (UTs),0,3,4,3,0,10,0,3,4,3,0,10
Total (All-India),Total (All-India),7,32,86,84,17,226,7,32,86,84,17,226
