Category,States/ UTs,Persons In Custody or on Bail During the Stage of Investigation at the Beginning of the Year,Persons Arrested During the Year,Persons Released or Freed by Police or Magistrate Before Trial for Want of Evidence or Any Other Reason,Persons In Custody or on Bail During the Stage of Investigation at the end of the Year,Persons In Whose Cases Charge Sheets Were Submitted During the Year,Persons Under Trial at the Beginning of the Year,Total Number of Persons Under Trial During the Year,Persons Against Whom Cases Were Compounded or Withdrawn,Persons In Custody or on Bail During the Stage of Trial at the end of the Year,Persons In Whose Cases Trials Were Completed During the Year,Persons Convicted,Persons Acquitted
State,Andhra Pradesh,1,0,0,0,1,1,2,0,1,1,0,1
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0
State,Goa,0,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0
State,Haryana,0,0,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0
State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
State,Maharashtra,0,0,0,0,0,2,2,0,2,0,0,0
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0
State,Total (States),1,0,0,0,1,3,4,0,3,1,0,1
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),Total (All-India),1,0,0,0,1,3,4,0,3,1,0,1
