Crime Head,2006,2007,Percentage Variation In 2007 Over 2006,Percentage Share of Arrestees Under Each Crime During 2007
"Murder (Sec.302, 303 IPC)",63069,63269,0.3,2.3
Attempt to Commit Murder (Sec. 307 IPC),65932,63817,-3.2,2.3
"C.H. Not Amounting Murder (Sec. 304, 308 IPC)",6679,6802,1.8,0.2
Rape (Sec. 376 IPC) - Total,23792,25363,6.6,0.9
Rape (Sec. 376 IPC) - Custodial Rape,3,0,NA,NA
Rape (Sec. 376 IPC) - Other Rape,23789,25363,6.6,0.9
"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total",32339,35562,10,1.3
"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - (i) of Women & Girls",20967,23658,12.8,0.9
"Kidnapping & Abduction (Sec. 363-369,371-373 IPC)- (ii) of Others",11372,11904,4.7,0.4
Dacoity (Sec. 395-398 IPC),17701,18117,2.4,0.7
Preparation & Assembly For Dacoity (Sec. 399-402 IPC),14406,12585,-12.6,0.5
"Robbery (Sec. 392-394,397,398 IPC)",28755,29820,3.7,1.1
"Burglary (Sec. 449-452,454,455,457-460 IPC)",67123,67060,-0.1,2.4
Theft (Sec. 379-382 IPC) - Total,199228,194182,-2.5,7
Theft (Sec. 379-382 IPC) - (i) Auto Theft,43994,43981,0,1.6
Theft (Sec. 379-382 IPC) - (ii) Other Theft,155234,150201,-3.2,5.4
"Riots (Sec. 143-145,147-151,153,153a,153b,157,158,160 IPC)",302874,314946,4,11.3
Criminal Breach of Trust (Sec. 406-409 IPC),15177,18457,21.6,0.7
"Cheating (Sec. 419,420 IPC)",53925,62385,15.7,2.2
"Counterfeiting (Sec. 231-254,489a-489d IPC)",2914,2603,-10.7,0.1
"Arson (Sec. 435,436,438 IPC)",12973,11903,-8.2,0.4
"Hurt (Sec. 323-333,335-338 IPC)",462367,485217,4.9,17.5
Dowry Deaths (Sec. 304b IPC),19234,22113,15,0.8
Molestation (Sec. 354 IPC),45116,48003,6.4,1.7
Sexual Harassment (Sec. 509 IPC),12420,13753,10.7,0.5
Cruelty by Husband And Relatives (Sec. 498a IPC),137180,156412,14,5.6
Importation of Girls (Sec. 366b IPC),85,95,11.8,0
Death Due to Negligence (304a IPC),67889,72931,7.4,2.6
Other IPC Crimes,1002505,1055164,5.3,37.9
Total Cognizable Crimes Under IPC,2653683,2780559,4.8,100
