Crime Head,Total No. Persons Under Arrest Including Those From Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the End of the Year - No.,Persons Under Investigation at the End of the Year - Percentage to Total
Infanticide (Sec.315 IPC),0,0.4,9.5,9.5,18.9,80.7,50
"Murder(Sec.302, 303 IPC)",0,0.2,8.3,9.6,17.9,81.9,46.2
Rape (Sec.376 IPC),0,0.2,6.3,12,18.3,81.5,34.3
"Kidnapping .& Abduction (Sec.363-369,371-373 IPC)",0,0.3,5.1,10.1,15.2,84.5,33.7
"Foeticide(Sec.315,316 IPC)",0,1.9,2.8,13.1,15.9,82.2,17.6
Abetment of Suicide (Sec.305 IPC),0,2.5,5,21.7,26.7,70.8,18.8
Exposure And Abandonment(Sec. 317 IPC),0,0.2,1.6,8.6,10.2,89.6,15.4
Procuration Minor Girls(Sec. 366a IPC),0,1.1,3.1,16.3,19.4,79.5,15.9
Buying of Girls for Prost. (Sec.373 IPC),0,0,0,16.1,16.1,83.9,0
Seling of Girls for Prost.(Sec.372 IPC),0,0,2.2,12.7,14.9,85.1,15
"Child Marriage Restraint Act, 1978",0,1.1,4.6,8.9,13.5,85.4,34.4
Other Crime,0,1.9,7,10.8,17.8,80.3,39.4
Total,0,0.9,6.3,10.9,17.2,82,36.6
