Crime Head,Incidence - 1997,Crime Rate - 1997,Incidence - 2002,Crime Rate - 2002,Incidence - 2003,Crime Rate - 2003,Incidence - 2004@,Crime Rate - 2004@,Incidence - 2005,Crime Rate - 2005,Incidence - 2006,Crime Rate - 2006,Incidence of Quinquennial Average (2002-2006 (Q.A)),Crime Rate of Quinquennial Average (2002-2006 (Q.A)),Incidence - 2007,Crime Rate - 2007,Percentage Change In 2007[(+) Increase/(-) Decrease] Over - 1997,Percentage Change In 2007[(+) Increase/(-) Decrease] Over - Q.A,Percentage Change In 2007[(+) Increase/(-) Decrease] Over - 2006,Note of Incidence - 1997,Note of Crime Rate - 1997,Note of Incidence - 2002
Arms Act,74109,7.8,64383,6.1,72804,6.8,74482,6.9,74270,6.7,76562,6.8,72500,6.7,74066,6.5,-0.1,2.2,-3.3,NA,NA,NA
Narcotic Drugs & Psychotropic Substances Act,21527,2.3,25279,2.4,27913,2.6,27608,2.5,29421,2.7,31044,2.8,28253,2.6,29831,2.6,38.6,5.6,-3.9,NA,NA,NA
Gambling Act,119107,12.5,175001,16.7,175298,16.4,190682,17.6,189523,17.2,173930,15.5,180887,16.7,184972,16.3,55.3,2.3,6.3,NA,NA,NA
Excise Act,169061,17.7,125062,11.9,137513,12.9,147854,13.6,150604,13.7,146973,13.1,141601,13,143311,12.6,-15.2,1.2,-2.5,NA,NA,NA
Prohibition Act,529703,55.5,488189,46.5,467216,43.7,378919,34.9,326190,29.6,315883,28.2,395279,36.6,344356,30.3,-35,-12.9,9,NA,NA,NA
Explosive & Explosive Substances Act,5140,0.5,4634,0.4,3864,0.4,4248,0.4,4254,0.4,4067,0.4,4213,0.4,4019,0.4,-21.8,-4.6,-1.2,NA,NA,NA
Immoral Traffic (P) Act,8323,0.9,6598,0.6,5510,0.5,5748,0.5,5908,0.5,4541,0.4,5661,0.5,3568,0.3,-57.1,-37,-21.4,NA,NA,#
Indian Railways Act,41469,4.3,55697,5.3,40861,3.8,21444,2,224,0,189,0,23683,2.2,186,0,-99.6,-99.2,-1.6,NA,NA,NA
Registration of Foreigners Act,1440,0.2,1754,0.2,1315,0.1,1194,0.1,1951,0.2,2133,0.2,1669,0.2,2117,0.2,47,26.8,-0.8,NA,NA,NA
Protection of Civil Rights Act - Total,1460,0.2,1065,0.1,671,0.1,375,0,453,0,454,0,604,0,211,0,-85.5,-65,-53.5,NA,NA,NA
Protection of Civil Rights Act - (i) PCR Act for SCs,NA,NA,1018,0.1,634,0.1,364,0,291,0,405,0,542,0,206,0,NA,-62,-49.1,*,*,NA
Protection of Civil Rights Act - (ii) PCR Act for SCTs,NA,NA,47,0,37,0,11,0,162,0,49,0,61,0,5,0,NA,-91.8,-89.8,*,*,NA
Indian Passport Act,440,0,693,0.1,555,0.1,807,0.1,1120,0.1,940,0.1,823,0.1,984,0.1,123.6,19.6,4.7,NA,NA,NA
Essential Commodities Act,5678,0.6,3593,0.3,4201,0.4,4871,0.4,7216,0.7,8319,0.7,5640,0.5,7965,0.7,40.3,41.2,-4.3,NA,NA,NA
Terrorist & Disruptive Activities Act,16,0,65,0,85,0,66,0,54,0,0,0,54,0,0,0,-100,-100,0,NA,NA,NA
Antiquities & Art Treasures Act,28,0,77,0,37,0,85,0,68,0,31,0,60,0,49,0,75,-17.8,58.1,NA,NA,NA
Dowry Prohibition Act,2685,0.3,2816,0.3,2684,0.3,3592,0.3,3204,0.3,4504,0.4,3360,0.3,5623,0.5,109.4,67.4,24.8,NA,NA,NA
Child Marriage Restraint Act,78,0,113,0,63,0,93,0,122,0,99,0,98,0,96,0,23.1,-2,-3,NA,NA,NA
Indecent Representation of Women (p Act,73,0,2508,0.2,1043,0.1,1378,0.1,2917,0.3,1562,0.1,1882,0.2,1200,0.1,1543.8,-36.2,-23.2,NA,NA,NA
Copyright Act,941,0.1,4035,0.4,5378,0.5,6290,0.6,6846,0.6,7188,0.6,5947,0.5,6628,0.6,604.4,11.4,-7.8,NA,NA,NA
Sati Prevention Act,1,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,-100,-100,0,NA,NA,NA
SC/ST (Prevention of Atrocities Act) - Total,15869,1.7,12570,1.2,9388,0.9,10066,0.9,9780,0.9,9813,0.9,10323,1,10923,1,-31.2,5.8,11.3,NA,NA,NA
SC/ST (Prevention of Atrocities) Act - (i) Prevention of Attrocities Act for SCs,NA,NA,10770,1,8048,0.8,8891,0.8,8497,0.8,8581,0.8,8957,0.8,9819,0.9,NA,9.6,14.4,*,*,NA
SC/ST (Prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for SCTs,NA,NA,1800,0.2,1340,0.1,1175,0.1,1283,0.1,1232,0.1,1366,0.1,1104,0.1,NA,-19.2,-10.4,*,*,NA
Forest Act,5353,0.6,4710,0.4,3707,0.3,3818,0.4,4168,0.4,4347,0.4,4150,0.4,4682,0.4,-12.5,12.8,7.7,NA,NA,NA
Other SLL Crimes,3688938,386.2,2767356,263.4,2818588,263.9,3313146,305.2,2385441,216.3,2431588,217.1,2743224,253.2,2918947,256.8,-20.9,6.4,20,NA,NA,NA
Total Cognizable Crimes Under SLL,4691439,491.1,3746198,356.6,3778694,353.7,4196766,386.6,3203735,290.5,3224167,287.9,3629912,335.1,3743734,329.4,-20.2,3.1,16.1,NA,NA,NA
