Category,States/ UTs,2006,2007,Percentage Variation In 2007 Over 2006,Percentage Contribution to All–India During 2007
State,Andhra Pradesh,227935,236176,3.6,8.5
State,Arunachal Pradesh,2849,2478,-13,0.1
State,Assam,58943,59402,0.8,2.1
State,Bihar,180446,219895,21.9,7.9
State,Chhattisgarh,58502,60239,3,2.2
State,Goa,3225,2619,-18.8,0.1
State,Gujarat,159810,169444,6,6.1
State,Haryana,66784,70746,5.9,2.5
State,Himachal Pradesh,19993,19598,-2,0.7
State,Jammu & Kashmir,30778,32936,7,1.2
State,Jharkhand,45674,46489,1.8,1.7
State,Karnataka,142252,134054,-5.8,4.8
State,Kerala,142301,149117,4.8,5.4
State,Madhya Pradesh,310782,329280,6,11.8
State,Maharashtra,290546,291313,0.3,10.5
State,Manipur,934,1306,39.8,0
State,Meghalaya,1699,1557,-8.4,0.1
State,Mizoram,2215,2062,-6.9,0.1
State,Nagaland,906,795,-12.3,0
State,Orissa,85592,80874,-5.5,2.9
State,Punjab,45391,47042,3.6,1.7
State,Rajasthan,185350,183814,-0.8,6.6
State,Sikkim,737,623,-15.5,0
State,Tamil Nadu,177582,201372,13.4,7.2
State,Tripura,5114,4578,-10.5,0.2
State,Uttar Pradesh,217758,246821,13.3,8.9
State,Uttarakhand,13471,14473,7.4,0.5
State,West Bengal,110346,109678,-0.6,3.9
State,Total (States),2587915,2718781,5.1,97.8
Union Territory,A & N Islands,797,1065,33.6,0
Union Territory,Chandigarh,3381,2846,-15.8,0.1
Union Territory,D & N Haveli,596,413,-30.7,0
Union Territory,Daman & Diu,372,393,5.6,0
Union Territory,Delhi,54198,50744,-6.4,1.8
Union Territory,Lakshadweep,237,26,-89,0
Union Territory,Puducherry,6187,6291,1.7,0.2
Union Territory,Total (UTs),65768,61778,-6.1,2.2
Total (All-India),Total (All-India),2653683,2780559,4.8,100
