Category,States/ UTs/ Cities,Tampering computer source documents (Sec. 65),Hacking with Computer System - Loss / damage to computer resource / utility (Sec. 66(1),Hacking with Computer System - Hacking (Sec. 66(2),Obscene publication / transmission in electronic form Sec. 67,Failure - of compliance / orders of Certifying Authority (Sec. 68),Failure - to assist in decrypting the information intercepted by Govt. Agency) (Sec.69),Unauthorised access / attempt to access to protected computer system (Sec. 70),Obtaining licence or Digital Signature Certificate by misrepresentation/suppression of fact (Sec. 71),Publishing False Digital Signature Certificate (Sec. 73),Fraud Digital Signature Certificate (Sec. 74),Breach of confidentiality/ privacy (Sec. 72),Others,Total
State,Andhra Pradesh,0,3,3,10,0,0,0,0,0,0,0,0,16
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,2,0,0,0,0,0,3,0,0,5
State,Goa,0,0,2,1,0,0,0,0,0,0,0,0,3
State,Gujarat,0,0,0,0,1,0,0,0,0,0,0,0,1
State,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,3,0,31,6,0,0,0,0,0,0,0,0,40
State,Kerala,1,4,7,20,0,0,1,0,0,0,5,0,38
State,Madhya Pradesh,0,0,0,6,0,0,0,0,0,0,0,0,6
State,Maharashtra,2,19,0,27,0,0,0,0,0,0,1,0,49
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,1,0,0,0,11,0,0,2,0,14
State,Rajasthan,3,0,0,10,1,0,1,0,0,0,1,0,16
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,1,2,0,7,0,0,0,0,0,0,0,0,10
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,2,0,0,0,2,1,0,0,0,0,0,5
State,Uttarakhand,0,0,0,1,0,0,0,0,0,0,0,0,1
State,West Bengal,1,0,0,0,0,0,1,0,0,0,0,0,2
State,Total (states),11,30,43,91,2,2,4,11,0,3,9,0,206
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,1,0,0,0,0,0,0,0,0,1
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,3,7,0,0,0,0,0,0,0,0,10
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,3,8,0,0,0,0,0,0,0,0,11
Total (All-India),Total (All-India),11,30,46,99,2,2,4,11,0,3,9,0,217
City,Agra,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Ahmedabad,0,0,0,0,1,0,0,0,0,0,0,0,1
City,Allahabad,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Amritsar,0,0,0,0,0,0,0,3,0,0,1,0,4
City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Bengaluru,3,0,31,6,0,0,0,0,0,0,0,0,40
City,Bhopal,0,0,0,5,0,0,0,0,0,0,0,0,5
City,Chennai,1,0,0,3,0,0,0,0,0,0,0,0,4
City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Delhi (City),0,0,3,7,0,0,0,0,0,0,0,0,10
City,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Faridabad,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Hyderabad,0,0,1,1,0,0,0,0,0,0,0,0,2
City,Indore,0,0,0,1,0,0,0,0,0,0,0,0,1
City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Kanpur,0,1,0,0,0,0,0,0,0,0,0,0,1
City,Kochi,1,3,0,5,0,0,0,0,0,0,0,0,9
City,Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Lucknow,0,1,0,0,0,2,0,0,0,0,0,0,3
City,Ludhiana,0,0,2,0,0,0,0,0,0,0,0,0,2
City,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Meerut,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Mumbai,0,6,0,3,0,0,0,0,0,0,0,0,9
City,Nagpur,1,0,4,3,0,0,0,0,0,0,0,0,8
City,Nasik,0,0,0,2,0,0,0,0,0,0,0,0,2
City,Patna,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Pune,1,6,0,7,0,0,0,0,0,0,0,0,14
City,Rajkot,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Surat,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Vadodara,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Vijayawada,0,0,0,3,0,0,0,0,0,0,0,0,3
City,Visakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (Cities),Total (Cities),7,17,41,46,1,2,0,3,0,0,1,0,118
