Category,Crime Head,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Girls,16 - 18 Years - Boys*,16 - 18 Years - Girls,Total for all Age Groups - Boys,Total for all Age Groups - Girls,Total (Boys + Girls)
A. IPC CRIMES,"Murder (sec 302, 303 IPC)",16,1,18,498,27,778,46,824
A. IPC CRIMES,Attempt to Commit Murder (sec 307 IPC),9,5,11,454,13,625,29,654
A. IPC CRIMES,"C.H. Not Amounting Murder (sec 304, 308 IPC)",1,1,1,25,1,40,3,43
A. IPC CRIMES,Rape (sec 376 IPC) - Total,29,1,3,536,6,815,10,825
A. IPC CRIMES,Rape (sec 376 IPC) - Custodial Rape,0,0,0,0,0,0,0,0
A. IPC CRIMES,Rape (sec 376 IPC) - Other Rape,29,1,3,536,6,815,10,825
A. IPC CRIMES,"Kidnapping & Abduction (sec 363-369, 371-373 IPC) - Total",3,1,8,259,22,316,31,347
A. IPC CRIMES,"Kidnapping & Abduction (sec 363-369, 371-373 IPC) - (i) of Women & Girls",3,1,8,177,17,211,26,237
A. IPC CRIMES,"Kidnapping & Abduction (sec 363-369, 371-373 IPC) - (ii) of Others",0,0,0,82,5,105,5,110
A. IPC CRIMES,Dacoity (sec 395 - 398 IPC),2,0,3,167,2,209,5,214
A. IPC CRIMES,Preparation & Assembly For Dacoity (sec 399-402 IPC),0,0,0,102,0,129,0,129
A. IPC CRIMES,"Robbery (sec 392-394, 397, 398 IPC)",11,0,1,353,6,509,7,516
A. IPC CRIMES,"Burglary (sec 449-452,454,455,457-460 IPC)",176,16,14,1776,33,3681,63,3744
A. IPC CRIMES,Theft (sec 379 - 382 IPC) - Total,427,28,75,3857,110,7285,213,7498
A. IPC CRIMES,Theft (sec 379 - 382 IPC) - (i) Auto Theft,17,0,0,903,3,1370,3,1373
A. IPC CRIMES,Theft (sec 379 - 382 IPC) - (ii) Other Theft,410,28,75,2954,107,5915,210,6125
A. IPC CRIMES,"Riots (sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",27,1,62,1542,84,2084,147,2231
A. IPC CRIMES,Criminal Breach of Trust (sec406-409 IPC),0,0,0,15,2,20,2,22
A. IPC CRIMES,"Cheating (sec 419, 420 IPC)",2,0,2,99,4,134,6,140
A. IPC CRIMES,"Counterfeiting (sec231-254,489A-489D)",2,0,0,8,0,12,0,12
A. IPC CRIMES,"Arson (sec 435, 436, 438 IPC)",2,0,0,37,3,63,3,66
A. IPC CRIMES,"Hurt (sec 323-333, 335-338 IPC)",124,12,117,2796,207,4496,336,4832
