Category,States/ UTs/ Cities,Below 18 years,Between 18 - 30 years,Between 30 - 45 years,Between 45 - 60 years,Above 60 years,Total
State,Andhra Pradesh,0,28,43,12,0,83
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0
State,Chhattisgarh,4,36,30,11,1,82
State,Goa,0,0,0,0,0,0
State,Gujarat,0,6,1,0,0,7
State,Haryana,0,0,1,0,0,1
State,Himachal Pradesh,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0
State,Madhya Pradesh,0,39,103,24,0,166
State,Maharashtra,0,0,1,0,0,1
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0
State,Punjab,0,16,44,9,0,69
State,Rajasthan,0,0,0,0,0,0
State,Sikkim,0,0,0,0,0,0
State,Tamil Nadu,0,0,0,0,0,0
State,Tripura,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,0,0,0
State,Uttarakhand,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,0
State,Total (states),4,125,223,56,1,409
Union Territory,A & N Islands,0,1,11,4,0,16
Union Territory,Chandigarh,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,0,0,3,1,0,4
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0
Union Territory,Total (uts),0,1,14,5,0,20
Total (All-India),Total (All-India),4,126,237,61,1,429
City,Agra,0,0,0,0,0,0
City,Ahmedabad,0,6,1,0,0,7
City,Allahabad,0,0,0,0,0,0
City,Amritsar,0,0,0,0,0,0
City,Asansol,0,0,0,0,0,0
City,Bengaluru,0,0,0,0,0,0
City,Bhopal,0,39,103,24,0,166
City,Chennai,0,0,0,0,0,0
City,Coimbatore,0,0,0,0,0,0
City,Delhi (City),0,0,3,1,0,4
City,Dhanbad,0,0,0,0,0,0
City,Faridabad,0,0,0,0,0,0
City,Hyderabad,0,0,0,0,0,0
City,Indore,0,0,0,0,0,0
City,Jabalpur,0,0,0,0,0,0
City,Jaipur,0,0,0,0,0,0
City,Jamshedpur,0,0,0,0,0,0
City,Kanpur,0,0,0,0,0,0
City,Kochi,0,0,0,0,0,0
City,Kolkata,0,0,0,0,0,0
City,Lucknow,0,0,0,0,0,0
City,Ludhiana,0,0,0,0,0,0
City,Madurai,0,0,0,0,0,0
City,Meerut,0,0,0,0,0,0
City,Mumbai,0,0,1,0,0,1
City,Nagpur,0,0,0,0,0,0
City,Nasik,0,0,0,0,0,0
City,Patna,0,0,0,0,0,0
City,Pune,0,0,0,0,0,0
City,Rajkot,0,0,0,0,0,0
City,Surat,0,0,0,0,0,0
City,Vadodara,0,0,0,0,0,0
City,Varanasi,0,0,0,0,0,0
City,Vijayawada,0,4,0,0,0,4
City,Visakhapatnam,0,0,0,0,0,0
Total (Cities),Total (Cities),0,49,108,25,0,182
