Category,States/ UTs,"Murder(Sec. 302, 303 IPC)",Attempt To commit murder(Sec. 307 IPC),"C.H. not Amounting to Murder(Sec. 304,308 IPC)",Rape(Sec. 376 IPC),"Kidnapping & Abduction(Sec. 363-369,371-373 IPC)",Dacoity(Sec. 395-398 IPC),Preparation and assembly for dacoity(Sec. 399-402 IPC),"Robbery (Sec. 392-394,397,398 IPC)","Riots(Sec. 143-145,147-151,153,153a,153b,157,158,160 IPC)","Arson(Sec.435,436,438 IPC)",Dowry Death (Sec. 304b IPC),Total Violent Crimes,Percentage Share to All-India Crimes,Rateof Violent Crimes,Percentage to Total Cognizable Crimes Under IPC
State,Andhra Pradesh,2665,1885,135,1070,2097,170,6,614,1998,1176,613,12429,5.8,15.2,7.1
State,Arunachal Pradesh,68,29,2,48,68,16,0,75,16,22,0,344,0.2,28.9,15
State,Assam,1374,451,109,1437,1971,299,12,496,2601,380,100,9230,4.3,31.2,20.4
State,Bihar,3034,3113,257,1555,2530,686,78,1787,7962,865,1172,23039,10.7,24.8,21.1
State,Chhattisgarh,1097,747,26,982,244,115,13,427,881,253,100,4885,2.3,20.9,10.7
State,Goa,33,23,7,20,12,7,0,22,70,24,2,220,0.1,13.8,8.9
State,Gujarat,1166,494,21,316,1312,245,10,1095,1668,330,42,6699,3.1,12,5.4
State,Haryana,911,592,72,488,801,139,266,502,1173,142,269,5355,2.5,22.8,10.4
State,Himachal Pradesh,127,57,9,159,171,5,0,23,649,141,8,1349,0.6,20.7,9.5
State,Jammu & Kashmir,318,669,23,288,758,18,0,111,1209,186,9,3589,1.7,29.7,16.7
State,Jharkhand,1617,1076,92,855,762,524,40,771,2565,160,303,8765,4.1,29.5,22.8
State,Karnataka,1538,1251,55,436,680,178,242,1313,5783,262,251,11989,5.6,21,9.9
State,Kerala,367,402,92,512,255,121,157,869,7358,398,27,10558,4.9,31,9.7
State,Madhya Pradesh,2244,2423,155,3010,922,143,109,1975,2648,909,742,15280,7.1,22.3,7.5
State,Maharashtra,2693,1615,113,1451,1312,716,405,2770,7993,1267,436,20771,9.6,19.6,10.6
State,Manipur,240,377,2,20,150,3,146,11,70,63,0,1082,0.5,41.5,33.2
State,Meghalaya,114,49,8,82,52,55,1,56,33,36,2,488,0.2,19.4,23.5
State,Mizoram,43,21,4,83,4,0,0,5,1,38,0,199,0.1,20.5,9.6
State,Nagaland,111,50,8,13,17,7,0,75,15,5,0,301,0.1,13.9,25.5
State,Orissa,1210,1105,22,939,801,247,42,1273,1983,411,461,8494,3.9,21.4,15.5
State,Punjab,760,893,170,519,760,37,92,138,1,96,133,3599,1.7,13.6,10.1
State,Rajasthan,1303,1772,64,1238,2177,71,81,778,1626,675,439,10224,4.7,16,6.9
State,Sikkim,9,14,3,24,9,0,0,6,15,1,0,81,0,13.8,12.1
State,Tamil Nadu,1633,2078,28,523,1270,88,33,495,2375,653,208,9384,4.4,14.2,5.4
State,Tripura,138,58,2,157,113,14,2,64,142,23,36,749,0.3,21.5,17.5
State,Uttar Pradesh,5000,4424,1616,1648,4478,437,82,2169,4495,268,2076,26693,12.4,14.2,17.8
State,Uttarakhand,268,228,50,117,253,46,6,173,459,37,70,1707,0.8,18.2,17.8
State,West Bengal,1652,877,394,2106,1800,146,1150,427,3727,121,451,12851,6,14.7,15.8
State,Total (States),31733,26773,3539,20096,25779,4533,2973,18520,59516,8942,7950,210354,97.6,18.8,10.9
Union Territory,A & N Islands,15,19,1,3,12,5,0,9,17,11,1,93,0,23,11.5
Union Territory,Chandigarh,19,26,8,22,52,2,0,37,79,9,1,255,0.1,24.4,7
Union Territory,D & N Haveli,10,2,0,7,9,1,0,3,39,10,0,81,0,31.5,19.1
Union Territory,Daman & Diu,12,7,0,1,1,3,1,2,31,3,1,62,0,33.7,23.8
Union Territory,Delhi,495,530,94,598,1688,34,229,557,87,31,138,4481,2.1,26.8,8
Union Territory,Lakshadweep,0,2,0,1,0,0,0,0,1,0,0,4,0,5.9,7.1
Union Territory,Puducherry,34,42,2,9,20,1,2,8,145,18,2,283,0.1,26.6,5.6
Union Territory,Total (UTs),585,628,105,641,1782,46,232,616,399,82,143,5259,2.4,26.6,7.9
All India,Total (All-India),32318,27401,3644,20737,27561,4579,3205,19136,59915,9024,8093,215613,100,19,10.8
