Crime Head,Incidence for Year - 1997,Rate of Crime for Year - 1997,Incidence for Year - 2002,Rate of Crime for Year -2002,Incidence for Year - 2003,Rate of Crime for Year - 2003,Incidence for Year - 2004,Rate of Crime for Year - 2004,Incidence for Year - 2005,Rate of Crime for Year - 2005,Incidence for Year - 2006,Rate of Crime for Year - 2006,QUINQUENNIAL AVG.2002-2006 (Q.A) - Incidence,QUINQUENNIAL AVG.2002-2006 (Q.A) - Rate of Crime,Incidence for Year - 2007,Incidence for Year - 2007,Percentage Change in 2007[(+) increase/(-) Decrease] Over - 1997,Percentage Change in 2007[(+) increase/(-) Decrease] Over - Q.a,Percentage Change in 2007[(+) increase/(-) Decrease] Over - 2006,Note of Incidence for Year - 1997,Note of Rate of Crime for Year - 1997,Note of Incidence for Year - 2003
"Murder (sec.302, 303 IPC)",37543,3.9,35290,3.4,32716,3.1,33608,3.1,32719,3,32481,2.9,33363,3.1,32318,2.8,-13.9,-3.1,-0.5,NA,NA,NA
Attempt to Commit Murder (sec. 307 IPC),29322,3.1,30380,2.9,25942,2.4,27890,2.6,28031,2.5,27230,2.4,27895,2.6,27401,2.4,-6.6,-1.8,0.6,NA,NA,NA
"C.H. Not Amounting Murder (sec. 304, 308 IPC)",3869,0.4,3624,0.3,4029,0.4,3935,0.4,3578,0.3,3535,0.3,3740,0.3,3644,0.3,-5.8,-2.6,3.1,NA,NA,NA
Rape(sec. 376 IPC) - Total,15330,1.6,16373,1.6,15847,1.5,18233,1.7,18359,1.7,19348,1.7,17632,1.6,20737,1.8,35.3,17.6,7.2,NA,NA,NA
Rape(sec. 376 IPC) - Custodial Rape,NA,NA,3,0,0,0,2,0,7,0,2,0,3,0,1,0,NA,-64.3,-50,*,*,@
Rape(sec. 376 IPC) - Other Rape,NA,NA,16370,1.6,15847,1.5,18231,1.7,18352,1.7,19346,1.7,17629,1.6,20736,1.8,NA,17.6,7.2,*,*,NA
"Kidnapping & Abduction (sec. 363-369, 371-373 IPC) - Total",21898,2.3,21850,2.1,19992,1.9,23327,2.1,22832,2.1,23991,2.1,22398,2.1,27561,2.4,25.9,23,14.9,NA,NA,NA
"Kidnapping & Abduction (sec. 363-369, 371-373 IPC) - of Women & Girls",15617,1.6,14506,1.4,13296,1.2,15578,1.4,15750,1.4,17414,1.6,15309,1.4,20416,1.8,30.7,33.4,17.2,NA,NA,NA
"Kidnapping & Abduction (sec. 363-369, 371-373 IPC) - of Others",6281,0.7,7344,0.7,6696,0.6,7749,0.7,7082,0.6,6577,0.6,7090,0.7,7145,0.6,13.8,0.8,8.6,NA,NA,NA
Dacoity (sec. 395-398 IPC),7867,0.8,6101,0.6,5303,0.5,5311,0.5,5141,0.5,4747,0.4,5321,0.5,4579,0.4,-41.8,-13.9,-3.5,NA,NA,NA
Preparation & Assembly for Dacoity (sec. 399-402 IPC),1049,0.1,1841,0.2,2302,0.2,2340,0.2,2834,0.3,3129,0.3,2489,0.2,3205,0.3,205.5,28.8,2.4,NA,NA,NA
"Robbery (sec. 392-394,397,398 IPC)",22141,2.3,18764,1.8,17512,1.6,18458,1.7,17673,1.6,18456,1.6,18173,1.7,19136,1.7,-13.6,5.3,3.7,NA,NA,NA
"Burglary (sec. 449-452,454,455,457-460 IPC)",113319,11.9,96461,9.2,92827,8.7,92490,8.5,90108,8.2,91666,8.2,92710,8.5,91218,8,-19.5,-1.6,-0.5,NA,NA,NA
Theft (sec. 379-382 IPC) - Total,277077,29,247462,23.6,245237,23,273045,25.2,273111,24.8,274354,24.5,262642,24.2,85043,25.1,2.9,8.5,3.9,NA,NA,NA
Theft (sec. 379-382 IPC) - Auto Theft,NA,NA,66668,6.3,69307,6.5,80682,7.4,85709,7.8,90951,8.1,78663,7.2,255,8.8,NA,27.4,10.2,*,*,NA
Theft (sec. 379-382 IPC) - Other Theft,NA,NA,180794,17.2,175930,16.5,192363,17.7,187402,17,183403,16.4,183978,17,84788,16.3,NA,0.4,0.8,*,*,NA
"Riots (sec. 143-145,147-151,153,153a,153b,157,158,160 IPC)",91812,9.6,68945,6.6,57334,5.4,59971,5.5,56235,5.1,56641,5.1,59825,5.5,59915,-5.3,-34.7,0.2,5.8,NA,NA,NA
Criminal Breach of Trust (sec. 406-409 IPC),15077,1.6,14027,1.3,13432,1.3,14176,1.3,13572,1.2,13636,1.2,13769,1.3,15531,1.4,3,12.8,13.9,NA,NA,NA
"Cheating (sec. 419,420 IPC)",35228,3.7,46271,4.4,47478,4.4,51939,4.8,53625,4.9,58076,5.2,51478,4.7,65326,5.7,85.4,26.9,12.5,NA,NA,NA
"Counterfeiting (sec. 231-254,489a-489d IPC)",2228,0.2,1522,0.1,2055,0.2,1529,0.1,2383,0.2,2169,0.2,1932,0.2,2204,0.2,-1.1,14.1,1.6,NA,NA,NA
"Arson (sec. 435,436,438 IPC)",12363,1.3,11820,1.1,9365,0.9,8637,0.8,8451,0.8,8480,0.8,9351,0.9,9024,0.8,-27,-3.5,6.4,NA,NA,NA
"Hurt (sec. 323-333,335-338 IPC)",228497,23.9,265025,25.2,261444,24.5,276868,25.5,270861,24.6,264748,23.6,267789,24.7,73067,24,19.5,2,3.1,NA,NA,NA
Dowry Deaths (sec. 304b IPC),6006,0.6,6822,0.6,6208,0.6,7026,0.6,6787,0.6,7618,0.7,6892,0.6,8093,0.7,34.7,17.4,6.2,NA,NA,NA
Molestation (sec. 354 IPC),30764,3.2,33943,3.2,32939,3.1,34567,3.2,34175,3.1,36617,3.3,34448,3.2,38734,3.4,25.9,12.4,5.8,NA,NA,NA
Sexual Harassment (sec. 509 IPC),5796,0.6,10155,1,12325,1.2,10001,0.9,9984,0.9,9966,0.9,10486,1,10950,1,88.9,4.4,9.9,NA,NA,NA
Cruelty by Husband and Relatives (sec. 498a IPC),36592,3.8,49237,4.7,50703,4.7,58121,5.4,58319,5.3,63128,5.6,55902,5.1,75930,6.7,107.5,35.8,20.3,NA,NA,NA
Importation of Girls (sec. 366b IPC),NA,NA,76,0,46,0,89,0,149,0,67,0,85,0,61,0,NA,-28.6,-9,*,*,NA
Causing Death by Negligence (304a IPC),NA,NA,64044,6.1,60672,5.7,69423,6.4,71698,6.5,78513,7,68870,6.3,86790,7.6,NA,26,10.5,*,*,NA
Other IPC Crimes,726042,76,730297,69.5,700412,65.6,741031,68.3,741977,67.3,779697,69.6,738683,68,829206,73,14.2,12.3,6.3,NA,NA,NA
Total Cognizable Crimes Under IPC,1719820,180,1780330,169.5,1716120,160.7,1832015,168.8,1822602,165.3,1878293,167.7,1805872,166.4,1989673,175.1,15.7,10.2,5.9,NA,NA,NA
