Crime Head (col.1),Total No. of Cases For Investigation Including Pending Cases from previous year (Col.2),Cases Withdrawn By Govt (Col.3),No. of Cases In which Investigation Refused (Col.4),No. of Cases In which Investigation Was Completed - Charge Found False / Mistake of Fact Or Law Etc. (Col.5),No. of Cases In which Investigation Was Completed - Final Report True Submitted (Col.6),No. of Cases In which Investigation Was Completed - Charge Sheets Submitted (Col.7),No. of Cases In which Investigation Was Completed - Total (Col.8) = Col.{(6)+(7)+(8)},No. of CasesPending Investigation at the end of the year (Col.9)
Murder (Sec.302 & 303 IPC),0,0.1,2.6,8.9,46.1,57.6,42.2,83.8
Attempt to Commit Murder (Sec. 307 IPC),0,0.1,3.6,6.9,55.2,65.7,34.2,88.9
"C.H. Not Amounting Murder (Sec.304 , 308 IPC)",0,0,3.9,8.5,57.7,70.2,29.8,87.1
Rape (Sec. 376 IPC),0,0,5.3,3.4,59.4,68,31.9,94.6
Rape (Sec. 376 IPC) - Custodial Rape,0,0,0,0,50,50,50,100
Rape (Sec. 376 IPC) - Other Rape,0,0,5.3,3.4,59.4,68,31.9,94.6
"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",0.1,0.3,12.4,11.1,35.6,59.1,40.6,76.2
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls",0.1,0.2,12.2,10.9,36.5,59.6,40.1,77
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others",0.1,0.3,13,11.5,33.5,58,41.7,74.4
Dacoity (Sec.395-398 IPC),0,0.1,4.5,12.7,28.4,45.6,54.3,69.1
Preparation & Assembly For Dacoity (Sec.399 to 402 IPC),0,0.1,0.5,1,60.6,62,37.9,98.4
"Robbery (Sec.392-394, 397,398 IPC)",0,0.1,4.4,19.1,38.7,62.2,37.7,67
"Burglary (Sec.449-452,454,455,457-460 IPC)",0,0.1,2.3,40.5,27.9,70.7,29.2,40.8
Theft (Sec.379 – 382 IPC),0,0.1,2.2,38.5,28.1,68.9,31,42.2
Theft (Sec.379 – 382 IPC) - Auto Theft,0,0.1,2.1,48.7,20.2,71,28.9,29.3
Theft (Sec.379 – 382 IPC) - Other Theft,0,0.1,2.3,33.4,32.1,67.8,32.1,49
"Riots (Sec.143-145, 147-151, 153,153a,153b,157,158,160 IPC)",0,0.1,5,5.9,56.3,67.3,32.6,90.5
Criminal Breach of Trust (Sec.406-409 IPC),0,0.1,7.4,13,33.9,54.4,45.5,72.3
"Cheating (Sec.419,420 IPC)",0,0.1,14.7,11.3,32.3,58.3,41.6,74.1
"Counterfeiting (Sec.231-254, 489a-489d IPC)",0,0.1,1.2,23.2,22.2,46.6,53.3,48.9
"Arson (Sec.435,436,438 IPC)",0,0.1,7.9,18.6,41.7,68.2,31.7,69.2
"Hurt (Sec.323-333,335-338 IPC)",0,0,2.9,4.4,75.9,83.2,16.7,94.6
Dowry Deaths (Sec.304b IPC),0,0.1,4.1,4.5,57.8,66.4,33.4,92.8
Molestation (Sec. 354 IPC),0,0,5.2,2.8,74.3,82.2,17.8,96.4
Sexual Harassment (Sec.509 IPC),0,0,3.5,2.2,80.8,86.6,13.4,97.3
Cruelty by Husband And Relatives (Sec. 498a IPC),0,0.1,8.4,4.1,62.5,75,25,93.9
Importation of Girls (Sec.366b IPC),0,0.9,15.1,3.2,37.6,56,43.1,92.1
Causing Death by Negligence (Sec. 304a IPC),0,0.1,3.1,13.7,60.7,77.6,22.4,81.5
Other IPC Crimes,0,0.1,5,7.4,68.1,80.5,19.4,90.2
Total Cognizable Crimes Under IPC,0,0.1,4.7,13.9,56.2,74.8,25.1,80.1
