Category,States/ UTs,Number of - Death Reported,Number of - Autopsy Conducted,Number of - Magisterial Enquiry Ordered/ Conducted,Number of - Judicial Enquiry Ordered/ Conducted,Number of - Cases Regd. In Connection With Deaths,Number of - Policemen Charge Sheeted,Number of - Policemen Convicted
State,Andhra Pradesh,18,18,6,0,18,2,0
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,3,3,3,0,3,0,0
State,Bihar,0,0,0,0,0,0,0
State,Chhattisgarh,1,1,0,1,1,1,0
State,Goa,0,0,0,0,0,0,0
State,Gujarat,3,1,2,1,1,0,0
State,Haryana,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0
State,Jammu & Kashmir,3,3,3,0,3,4,0
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0,0
State,Madhya Pradesh,3,0,3,0,3,0,0
State,Maharashtra,18,18,0,0,0,0,0
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,2,1,2,0,1,0,0
State,Mizoram,1,1,1,0,1,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,0,0,0
State,Sikkim,1,1,1,0,0,0,0
State,Tamil Nadu,2,1,2,0,2,0,0
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,0,0,0,0
State,Uttarakhand,0,0,0,0,0,0,0
State,West Bengal,2,2,2,0,0,0,0
State,Total (States),57,50,25,2,33,7,0
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,0,0,0
Total (All-India),Total (All-India),57,50,25,2,33,7,0
