Crime Head (col.1),Total No. of Cases For Investigation Including Pending Cases from previous year (Col.2),Cases Withdrawn By Govt (Col.3),No. of Cases In which Investigation Refused (Col.4),No. of Cases In which Investigation Was Completed - Charge Found False / Mistake of Fact Or Law Etc. (Col.5),No. of Cases In which Investigation Was Completed - Final Report True Submitted (Col.6),No. of Cases In which Investigation Was Completed - Charge Sheets Submitted (Col.7),No. of Cases In which Investigation Was Completed - Total (Col.8) = Col.{(6)+(7)+(8)},No. of CasesPending Investigation at the end of the year (Col.9)
Murder (Sec.302 & 303 IPC),55329,3,60,1430,4936,25530,31896,23370
Attempt To Commit Murder (Sec. 307 IPC),41338,3,24,1473,2862,22820,27155,14156
"C.H. Not Amounting Murder (Sec.304 , 308 IPC)",5398,0,2,212,461,3115,3788,1608
Rape (Sec. 376 IPC),29664,1,14,1566,1000,17617,20183,9466
Rape (Sec. 376 IPC) - Custodial Rape,2,0,0,0,0,1,1,1
Rape (Sec. 376 IPC) - Other Rape,29662,1,14,1566,1000,17616,20182,9465
"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",44682,32,115,5538,4961,15905,26404,18131
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls",31401,25,78,3817,3430,11460,18707,12591
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others",13281,7,37,1721,1531,4445,7697,5540
Dacoity (Sec.395-398 IPC),11049,2,11,500,1401,3134,5035,6001
Preparation & Assembly For Dacoity (Sec.399 To 402 IPC),5110,1,5,23,51,3095,3169,1935
"Robbery (Sec.392-394, 397,398 IPC)",31178,5,19,1372,5955,12081,19408,11746
"Burglary (Sec.449-452,454,455,457-460 IPC)",128995,21,65,2926,52290,36033,91249,37660
Theft (Sec.379 – 382 IPC),407243,40,447,9076,156868,114444,280388,126368
Theft (Sec.379 – 382 IPC) - Auto Theft,136953,23,93,2829,66706,27662,97197,39640
Theft (Sec.379 – 382 IPC) - Other Theft,270290,17,354,6247,90162,86782,183191,86728
"Riots (Sec.143-145, 147-151, 153,153a,153b,157,158,160 IPC)",87659,32,45,4402,5175,49390,58967,28615
Criminal Breach of Trust (Sec.406-409 IPC),27530,2,26,2042,3583,9342,14967,12535
"Cheating (Sec.419,420 IPC)",109164,31,161,16078,12300,35224,63602,45370
"Counterfeiting (Sec.231-254, 489a-489d IPC)",4692,0,5,55,1088,1043,2186,2501
"Arson (Sec.435,436,438 IPC)",12887,0,12,1015,2395,5376,8786,4089
"Hurt (Sec.323-333,335-338 IPC)",330814,6,151,9757,14439,251052,275248,55409
Dowry Deaths (Sec.304b IPC),12191,0,15,504,548,7048,8100,4076
Molestation (Sec. 354 IPC),45936,1,9,2385,1264,34118,37767,8159
Sexual Harassment (Sec.509 IPC),12381,0,2,434,275,10008,10717,1662
Cruelty By Husband And Relatives (Sec. 498a IPC),97893,2,55,8215,3985,61171,73371,24465
Importation of Girls (Sec.366b IPC),218,0,2,33,7,82,122,94
Causing Death By Negligence (Sec. 304a IPC),107834,8,62,3366,14817,65468,83651,24113
Other IPC Crimes,1017502,47,990,51032,75039,692615,818686,197779
Total Cognizable Crimes,2626687,237,2297,123434,365700,1475711,1964845,659308
