Category,States/ UTs,Number of Deaths In Police Custody - During Hospitalisation / Treatment,Number of Deaths In Police Custody - Due to Accidents,Number of Deaths In Police Custody - by Mob Attack/ Riot,Number of Deaths In Police Custody - by Other Criminals,Number of Deaths In Police Custody - by Suicide,Number of Deaths In Police Custody - While Escaping From Custody,Number of Deaths In Police Custody - Illness/Natural Death
State,Andhra Pradesh,18,0,0,0,0,1,4
State,Arunachal Pradesh,0,0,0,0,0,0,0
State,Assam,0,0,3,0,0,0,0
State,Bihar,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,1,0,0
State,Goa,0,0,0,0,0,0,0
State,Gujarat,4,0,0,0,5,1,5
State,Haryana,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,1,0,1
State,Jharkhand,0,0,0,0,0,0,0
State,Karnataka,0,0,0,0,0,0,0
State,Kerala,0,0,0,0,0,0,0
State,Madhya Pradesh,1,0,0,1,6,1,3
State,Maharashtra,4,0,0,0,9,3,10
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,1,0,1
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,3,0,0,0,0
State,Orissa,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0
State,Rajasthan,1,0,0,0,1,0,0
State,Sikkim,0,0,0,0,1,0,0
State,Tamil Nadu,1,0,0,0,1,0,0
State,Tripura,0,0,0,0,0,0,0
State,Uttar Pradesh,2,0,3,1,2,1,4
State,Uttarakhand,0,0,0,0,0,0,0
State,West Bengal,7,0,0,0,2,0,1
State,Total (States),38,0,9,2,30,7,29
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,1,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,0,0,1,0,0
Total (All-India),Total (All-India),38,0,9,2,31,7,29
