Crime Head,Total No. of Persons Under Arrest* Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
"1. Murder (sec 302, 303 IPC )",89017,3107,3.5,58662,65.9,27248,30.6
2. Attempt To Commit Murder (sec 307 IPC ),84029,2837,3.4,61019,72.6,20173,24
"3. C.h. Not Amounting Murder (sec 304, 308 IPC )",9256,646,7,6220,67.2,2390,25.8
4. Rape (sec 376 IPC ) - Total,33162,1307,3.9,23704,71.5,8151,24.6
4. Rape (sec 376 IPC ) - Custodial Rape,1,0,0,1,0,0,0
4. Rape (sec 376 IPC ) - Other Rape,33161,1307,3.9,23703,71.5,8151,24.6
"5. Kidnapping & Abduction (sec 363-369, 371-373 IPC ) - Total",50354,4466,8.9,29687,59,16201,32.2
"5. Kidnapping & Abduction (sec 363-369, 371-373 IPC ) - (i) Of Women & Girls",32770,2992,9.1,19646,60,10132,30.9
"5. Kidnapping & Abduction (sec 363-369, 371-373 IPC ) - (ii) Of Others",17584,1474,8.4,10041,57.1,6069,34.5
6. Dacoity (sec 395 - 398 IPC ),30291,2050,6.8,15690,51.8,12551,41.4
7. Preparation & Assembly For Dacoity (sec 399-402 IPC ),18826,327,1.7,12767,67.8,5732,30.4
"8. Robbery (sec 392-394, 397, 398 IPC )",43822,2297,5.2,26483,60.4,15042,34.3
"9. Burglary (sec. 449-452,454,455,457-460 IPC )",84641,5248,6.2,60147,71.1,19246,22.7
10. Theft (sec 379 - 382 IPC ) - Total,249479,20783,8.3,169402,67.9,59294,23.8
10. Theft (sec 379 - 382 IPC ) - (i) Auto Theft,57263,5931,10.4,35889,62.7,15443,27
10. Theft (sec 379 - 382 IPC ) - (ii) Other Theft,192216,14852,7.7,133513,69.5,43851,22.8
"11. Riots (sec 143-145, 147-151, 153, 153a., 153b, 157, 158, 160 IPC )",399084,11284,2.8,295759,74.1,92041,23.1
12. Criminal Breach Of Trust(sec.406-409 IPC ),26573,2037,7.7,15824,59.5,8712,32.8
"13. Cheating (sec 419, 420 IPC )",87644,5387,6.1,53072,60.6,29185,33.3
"14. Counterfeiting (sec.231-254,489a-489d)",4356,174,4,2385,54.8,1797,41.3
"15. Arson (sec 435, 436, 438 IPC )",16581,1199,7.2,10859,65.5,4523,27.3
"16. Hurt (sec 323-333, 335-338 IPC )",561561,11331,2,470406,83.8,79824,14.2
17. Dowry Deaths (section 304b IPC ),28193,1684,6,19717,69.9,6792,24.1
18. Molestation (section 354 IPC ),55630,1172,2.1,46503,83.6,7955,14.3
19. Sexual Harassment (sec 509 IPC ),15212,185,1.2,13646,89.7,1381,9.1
20. Cruelty by Husband and Relatives (sec 498a IPC ),187540,7173,3.8,145323,77.5,35044,18.7
21. Importation of Girls (sec 366b IPC ),218,10,4.6,127,58.3,81,37.2
22. Causing Death By Negligence (sec 304a IPC ),88177,2928,3.3,68802,78,16447,18.7
23. Other IPC Crimes,1223433,37895,3.1,1005266,82.2,180272,14.7
24. Total Cognizable Crimes Under IPC,3387079,125527,3.7,2611470,77.1,650082,19.2
