Category,State/UT,Total No. of Persons Under Trial Including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,"Total No. of Persons whose - Trial
Completed",Total No. of Persons whose - Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,10528,47,3595,6886,445,65.4,3.7
State,Arunachal Pradesh,1,0,0,1,0,100,0
State,Assam,238,0,91,147,40,61.8,0.1
State,Bihar,14427,142,2459,11826,268,82,6.4
State,Chhattisgarh,3370,17,938,2415,374,71.7,1.3
State,Goa,1,0,0,1,0,100,0
State,Gujarat,20170,44,1991,18135,120,89.9,9.7
State,Haryana,1700,0,452,1248,88,73.4,0.7
State,Himachal Pradesh,727,12,66,649,2,89.3,0.3
State,Jammu & Kashmir,15,0,1,14,1,93.3,0
State,Jharkhand,960,10,393,557,46,58,0.3
State,Karnataka,19170,60,4765,14345,127,74.8,7.7
State,Kerala,2261,28,859,1374,34,60.8,0.7
State,Madhya Pradesh,33483,925,8507,24051,3223,71.8,12.9
State,Maharashtra,20610,439,2966,17205,63,83.5,9.2
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,2,0,2,0,2,0,0
State,Orissa,10055,0,1483,8572,161,85.3,4.6
State,Punjab,846,0,185,661,28,78.1,0.4
State,Rajasthan,18420,354,2974,15092,1275,81.9,8.1
State,Sikkim,17,0,7,10,5,58.8,0
State,Tamil Nadu,7448,0,2227,5221,327,70.1,2.8
State,Tripura,46,0,34,12,13,26.1,0
State,Uttar Pradesh,69948,182,12822,56944,7159,81.4,30.6
State,Uttarakhand,810,0,242,568,64,70.1,0.3
State,West Bengal,35,0,1,34,0,97.1,0
State,Total (States),235288,2260,47060,185968,13865,79,99.9
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,2,0,0,2,0,100,0
Union Territory,D & N Haveli,7,0,1,6,0,85.7,0
Union Territory,Daman & Diu,4,0,0,4,0,100,0
Union Territory,Delhi,90,0,12,78,5,86.7,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Puducherry,169,4,63,102,1,60.4,0.1
Union Territory,Total (UTs),272,4,76,192,6,70.6,0.1
All India,Total (All India),235560,2264,47136,186160,13871,79,100
