Category,State/UT,Total No. of Persons Under Trial Including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,"Total No. of Persons whose - Trial
Completed",Total No. of Persons whose - Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,2333,1,758,1574,77,67.5,5.6
State,Arunachal Pradesh,95,0,0,95,0,100,0.3
State,Assam,244,0,103,141,48,57.8,0.5
State,Bihar,433,0,94,339,4,78.3,1.2
State,Chhattisgarh,2845,47,614,2184,285,76.8,7.8
State,Goa,1,0,0,1,0,100,0
State,Gujarat,4312,0,345,3967,12,92,14.2
State,Haryana,0,0,0,0,0,0,0
State,Himachal Pradesh,40,0,6,34,0,85,0.1
State,Jammu & Kashmir,0,0,0,0,0,0,0
State,Jharkhand,688,4,126,558,35,81.1,2
State,Karnataka,1644,16,496,1132,5,68.9,4.1
State,Kerala,535,0,212,323,28,60.4,1.2
State,Madhya Pradesh,10310,270,3032,7008,1205,68,25.2
State,Maharashtra,5129,12,802,4315,13,84.1,15.5
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,26,0,26,0,26,0,0
State,Orissa,3253,0,388,2865,41,88.1,10.3
State,Punjab,0,0,0,0,0,0,0
State,Rajasthan,3869,73,965,2831,355,73.2,10.2
State,Sikkim,32,0,17,15,10,46.9,0.1
State,Tamil Nadu,157,0,24,133,3,84.7,0.5
State,Tripura,27,0,4,23,2,85.2,0.1
State,Uttar Pradesh,208,0,49,159,31,76.4,0.6
State,Uttarakhand,46,0,8,38,3,82.6,0.1
State,West Bengal,29,0,0,29,0,100,0.1
State,Total (States),36256,423,8069,27764,2183,76.6,99.6
Union Territory,A & N Islands,63,0,0,63,0,100,0.2
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,35,0,4,31,0,88.6,0.1
Union Territory,Daman & Diu,4,0,0,4,0,100,0
Union Territory,Delhi,1,0,0,1,0,100,0
Union Territory,Lakshadweep,1,0,0,1,0,100,0
Union Territory,Puducherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),104,0,4,100,0,96.2,0.4
All India,Total (All India),36360,423,8073,27864,2183,76.6,100
