Category,State/UT,Estimated Mid YearPopulation(In Lakhs)#,"Murder(Sec. 302,303 IPC) (I)","Murder(Sec. 302,303 IPC) ( R)","Murder(Sec. 302,303 IPC) (P)",Rape(Sec. 376 IPC) (I),Rape(Sec. 376 IPC) ( R),Rape(Sec. 376 IPC) (P),"Kidnapping & Abduction(Sec. 363-369,371-373 IPC) (I)","Kidnapping & Abduction(Sec. 363-369,371-373 IPC) ( R)","Kidnapping & Abduction(Sec. 363-369,371-373 IPC) (P)",Dacoity(Sec. 395-398 IPC) (I),Dacoity(Sec. 395-398 IPC) ( R),Dacoity(Sec. 395-398 IPC) (P),"Robbery(Sec. 392-394,397,398 IPC) (I)","Robbery(Sec. 392-394,397,398 IPC) ( R)","Robbery(Sec. 392-394,397,398 IPC) (P)","Arson(Sec. 435,436,438 IPC) (I)","Arson(Sec. 435,436,438 IPC) ( R)","Arson(Sec. 435,436,438 IPC) (P)","Hurt(Sec. 323-333,335-338 IPC) (I)","Hurt(Sec. 323-333,335-338 IPC) ( R)","Hurt(Sec. 323-333,335-338 IPC) (P)",Prot. of Civil Rights Act(1955) (I),Prot. of Civil Rights Act(1955) ( R),Prot. of Civil Rights Act(1955) (P),SC/ST Prev. of Attrocities Act(1989) (I),SC/ST Prev. of Attrocities Act(1989) ( R),SC/ST Prev. of Attrocities Act(1989) (P),Other offences (I),Other offences ( R),Other offences (P),Total (I),Total ( R),Total (P)
State,Andhra Pradesh,816,46,0.1,6.8,105,0.1,7.8,25,0,7.5,0,0,0,0,0,0,17,0,7.1,541,0.7,14.2,122,0.1,59.2,1200,1.5,12.2,1327,1.6,9.8,3383,4.1,11.3
State,Arunachal Pradesh,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,296.2,11,0,1.6,8,0,0.6,15,0.1,4.5,2,0,8.7,3,0,3.5,1,0,0.4,48,0.2,1.3,1,0,0.5,0,0,0,37,0.1,0.3,126,0.4,0.4
State,Bihar,928.3,26,0,3.9,32,0,2.4,10,0,3,4,0,17.4,11,0,12.8,12,0,5,381,0.4,10,0,0,0,1933,2.1,19.7,377,0.4,2.8,2786,3,9.3
State,Chhattisgarh,233.9,11,0,1.6,57,0.2,4.2,3,0,0.9,0,0,0,1,0,1.2,0,0,0,57,0.2,1.5,0,0,0,150,0.6,1.5,232,1,1.7,511,2.2,1.7
State,Goa,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,558.8,17,0,2.5,30,0.1,2.2,22,0,6.6,7,0,30.4,19,0,22.1,16,0,6.7,283,0.5,7.4,2,0,1,328,0.6,3.3,316,0.6,2.3,1040,1.9,3.5
State,Haryana,235.3,10,0,1.5,21,0.1,1.6,13,0.1,3.9,0,0,0,1,0,1.2,1,0,0.4,28,0.1,0.7,0,0,0,75,0.3,0.8,78,0.3,0.6,227,1,0.8
State,Himachal Pradesh,65.1,0,0,0,6,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,1.9,81,1.2,0.8,0,0,0,91,1.4,0.3
State,Jammu & Kashmir,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,1,0,0
State,Jharkhand,297.3,13,0,1.9,12,0,0.9,4,0,1.2,0,0,0,0,0,0,2,0,0.8,66,0.2,1.7,0,0,0,274,0.9,2.8,167,0.6,1.2,538,1.8,1.8
State,Karnataka,569.8,15,0,2.2,20,0,1.5,4,0,1.2,1,0,4.3,0,0,0,1,0,0.4,165,0.3,4.3,17,0,8.3,1016,1.8,10.3,605,1.1,4.5,1844,3.2,6.1
State,Kerala,340.1,3,0,0.4,69,0.2,5.1,1,0,0.3,1,0,4.3,3,0,3.5,1,0,0.4,180,0.5,4.7,0,0,0,42,0.1,0.4,177,0.5,1.3,477,1.4,1.6
