Category,States/ UTs,Unidentified Bodies Recovered and Inquest Conducted
State,Andhra Pradesh,4088
State,Arunachal Pradesh,3
State,Assam,38
State,Bihar,1115
State,Chhattisgarh,145
State,Goa,272
State,Gujarat,2054
State,Haryana,653
State,Himachal Pradesh,175
State,Jammu & Kashmir,386
State,Jharkhand,50
State,Karnataka,2767
State,Kerala,628
State,Madhya Pradesh,979
State,Maharashtra,7107
State,Manipur,34
State,Meghalaya,14
State,Mizoram,0
State,Nagaland,0
State,Orissa,107
State,Punjab,950
State,Rajasthan,1167
State,Sikkim,14
State,Tamil Nadu,2237
State,Tripura,0
State,Uttar Pradesh,3482
State,Uttarakhand,225
State,West Bengal,5973
State,Total (states),34663
Union Territory,A & N Islands,0
Union Territory,Chandigarh,182
Union Territory,D & N Haveli,14
Union Territory,Daman & Diu,22
Union Territory,Delhi,2232
Union Territory,Lakshadweep,0
Union Territory,Puducherry,169
Union Territory,Total (UTs),2619
All-India,Total (All-India),37282
