Crime Head,Year - 1997,Year - 2002,Year - 2003,Year - 2004,Year - 2005,Year - 2006,Quinquennial Average (2002-2006) (Q.A),2007,Percentage Change In 2007 [(+) Increase / (-) Decrease] Over - 1997,Percentage Change In 2007 [(+) Increase / (-) Decrease] Over - Q.A,Percentage Change In 2007 [(+) Increase / (-) Decrease] Over - 2006,Note of Year - 1997
"Murder (Sec.302, 303 IPC)",316,531,465,472,522,605,519,672,112.7,29.5,11.1,NA
Attempt To Commit Murder (Sec. 307 IPC),147,469,475,443,374,489,450,547,272.1,21.6,11.9,NA
"C.h. Not Amounting Murder (Sec. 304, 308 IPC)",25,22,25,19,58,36,32,41,64,28.1,13.9,NA
Rape (Sec. 376 IPC) - Total,163,485,466,568,586,656,552,746,357.7,35.1,13.7,NA
Rape (Sec. 376 IPC) - Custodial Rape,NA,0,0,0,0,0,NA,0,NA,0,0,*
Rape (Sec. 376 IPC) - Other Rape,NA,485,466,568,586,656,552,746,NA,35.1,13.7,*
"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total",72,164,202,232,246,271,223,301,318.1,35,11.1,NA
"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - (i) of Women & Girls",48,109,158,167,191,208,167,205,327.1,23,-1.4,NA
"Kidnapping & Abduction (Sec. 363-369,371-373 IPC)- (ii) of Others",24,55,44,65,55,63,56,96,300,70.2,52.4,NA
Dacoity (Sec. 395-398 IPC),20,63,122,121,120,99,105,144,620,37.1,45.5,NA
Preparation & Assembly For Dacoity (Sec. 399-402 IPC),1,46,38,46,58,74,52,87,8600,66,17.6,NA
"Robbery (Sec. 392-394,397,398 IPC)",50,207,208,224,230,321,238,409,718,71.8,27.4,NA
"Burglary (Sec. 449-452,454,455,457-460 IPC)",1162,1723,2134,2138,2270,2675,2188,2603,124,19,-2.7,NA
Theft (Sec. 379-382 IPC) - Total,1975,3361,3680,4554,4846,5316,4351,5606,183.8,28.8,5.5,NA
Theft (Sec. 379-382 IPC) - (i) Auto Theft,NA,563,604,748,904,1072,778,1068,NA,37.2,-0.4,*
Theft (Sec. 379-382 IPC) - (ii) Other Theft,NA,2798,3076,3806,3942,4244,3573,4538,NA,27,6.9,*
"Riots (Sec. 143-145,147-151,153,153a,153b,157,158,160 IPC)",513,1066,1030,982,934,988,1000,1440,180.7,44,45.7,NA
Criminal Breach of Trust (Sec. 406-409 IPC),16,39,56,43,30,15,37,40,150,9.3,166.7,NA
"Cheating (Sec. 419,420 IPC)",43,88,104,149,106,94,108,111,158.1,2.6,18.1,NA
"Counterfeiting (Sec. 231-254,489a-489d IPC)",1,3,8,9,7,8,7,12,1100,71.4,50,NA
"Arson (Sec. 435,436,438 IPC)",40,107,34,44,60,36,56,63,57.5,12.1,75,NA
"Hurt (Sec. 323-333,335-338 IPC)",1242,4137,3074,3226,2979,3585,3400,3810,206.8,12.1,6.3,NA
Dowry Deaths (Sec. 304b IPC),49,65,52,51,102,60,66,70,42.9,6.1,16.7,NA
Molestation (Sec. 354 IPC),131,522,522,460,478,488,494,476,263.4,-3.6,-2.5,NA
Sexual Harassment (Sec. 509 IPC),25,265,286,186,137,148,204,129,416,-36.9,-12.8,NA
Cruelty By Husband And Relatives (Sec. 498a IPC),154,262,202,206,275,219,233,302,96.1,29.7,37.9,NA
Importation of Girls (Sec. 366b IPC),NA,0,0,0,0,0,NA,0,NA,0,0,*
Death Due To Negligence (304a IPC),NA,60,78,60,65,163,85,108,NA,26.8,-33.7,*
Other IPC Crimes,1764,4875,4558,4996,4456,4742,4725,5148,191.8,8.9,8.6,NA
Total Cognizable Crimes Under IPC,7909,18560,17819,19229,18939,21088,19127,22865,189.1,19.5,8.4,NA
