Crime Head (Col.1),Total No. Persons Under Trial Including those from Previous Year (Col.2),No. of Persons whose - Cases Compounded or Withdrawn (Col.3),No. of Persons whose - Trial Completed (Col.4),No. of Persons whose - Trial Remained Pending at the end of the year (Col.5),No. of Persons whose - No. of Persons Convicted (Col.6),Percentage of Persons - Whose Trials Remained Pending (Col.7),Percentage of Persons - Convicted to Trials Completed (Col.8)
"Murder (Sec. 302,303 IPC)",370,1,0.3,315,85.1,54,14.6
Rape (Sec.376 IPC),937,4,0.4,859,91.7,74,7.9
"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",122,9,7.4,86,70.5,27,22.1
Dacoity (Sec.395-398 IPC),29,2,6.9,10,34.5,17,58.6
"Robbery (392-394, 397,398 IPC)",41,4,9.8,28,68.3,9,22
"Arson (Sec.435, 436, 438 IPC)",107,4,3.7,71,66.4,32,29.9
"Hurt (Sec.323-333, 335-338 IPC)",1437,27,1.9,1184,82.4,226,15.7
"PCR Act, 1955 for SCs",22,7,31.8,7,31.8,8,36.4
"SC/ST Prev. Of Atrocities Act, 1989 for SCs",2112,58,2.7,1753,83,301,14.3
Other Crime,4306,35,0.8,3915,90.9,356,8.3
Total,9483,151,1.6,8228,86.8,1104,11.6
