Sl. No.,Crime Head,Total No. Persons Under ArreST Including those from Previous Year,No. of Persons Released Before Trial,Percentage to Total Persons Released Before Trial,No. of Persons Charge Sheeted,Percentage to Total of Persons Charge Sheeted,No. of Persons Under InveSTigation at the end of the Year,Percentage to Total of Persons Under Investigation at the end of the Year
1,Murder (Sec. 302 IPC),420,14,3.3,351,83.6,55,13.1
2,Rape (Sec.376 IPC),1024,3,0.3,924,90.2,97,9.5
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",225,6,2.7,176,78.2,43,19.1
4,Dacoity (Sec.395-398 IPC),39,0,0,10,25.6,29,74.4
5,"Robbery (392-394, 397,398 IPC)",19,0,0,18,94.7,1,5.3
6,"Arson (Sec.435, 436, 438 IPC)",52,2,3.8,44,84.6,6,11.5
7,"Hurt (Sec.323-333, 335-338 IPC)",1500,19,1.3,1263,84.2,218,14.5
8,"PCR Act, 1955 for STs",9,0,0,7,77.8,2,22.2
9,"SC/ST Prev. of atrocities Act, 1989 for STs",2251,48,2.1,1631,72.5,572,25.4
10,Other Crimes AgainST STs,4487,122,2.7,3637,81.1,728,16.2
11,Total,10026,214,2.1,8061,80.4,1751,17.5
