Sl. No.,Category,State/UT,Investigation Stage - Cases Pending Investigation from Previous Year,Investigation Stage - Cases Reported During the Year,Investigation Stage - Cases Withdrawn by Govt. During Investigation,Investigation Stage - Cases not Investigated or Investigation was Refused,Investigation Stage - Cases Declared False on Account of Mistake of Fact or Law,Investigation Stage - Cases in Which Chargesheets were Submitted,Investigation Stage - Cases in Which Final Report Submitted,"Investigation Stage - Total
True
Cases",Investigation Stage - Cases Pending Investigation at the End of the Year,Trial Stage - Cases Pending Trial from Previous Year,"Trial Stage- Cases Sent for Trial During
the Year","Trial Stage - Cases Withdrawn by Govt.
During Trial","Trial Stage - Total Cases for Trial
During the Year",Trial Stage - Cases Compounded or Withdrawn,Trial Stage - Cases in Which Trials were Completed,Trial Stage - Cases Convicted,Trial Stage - Cases Acquitted or Discharged,Trial Stage - Cases Pending Trial at the End of the Year
1,State,Andhra Pradesh,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,2,0,0,0,0,2,0,2,0,1,2,0,3,0,0,0,0,3
4,State,Bihar,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
5,State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,State,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,State,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2
12,State,Karnataka,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
15,State,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,State,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
27,State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,State,Total (States),4,1,0,0,1,3,1,4,0,6,3,0,9,0,1,0,1,8
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),Total (All-India),Total (All-India),4,1,0,0,1,3,1,4,0,6,3,0,9,0,1,0,1,8
