Sl. No. (Col.1),Category(Col.2),State/UT (Col.3),Total No. of Cases for investigation including Pending Cases from previous year(Col.4),Cases With- drawn by Govt.(Col.5),No. of Cases in Which - investigation Refused(Col.6),No. of Cases in Which - investigation Completed (Charge Found False / Mistake of Fact or Law Etc.) (Col.7),No. of Cases in Which - investigation Completed (Final Report True Submitted)(Col.8),No. of Cases in Which - investigation Completed (Charge Sheets Submitted)(Col.9),No. of Cases in Which - investigation Completed (Total) (Col.10) = Col. 7+8+9,No. of Cases Pending investigation at the end of the year (Col.11),Pendency Percentage (Col.12),Percentage of Pendency to All india Total (Col.13),Charge - Sheeting Rate (Col. 13) = ((Col. 9)/(Col. 8+9)*100)
1,State,Andhra Pradesh,6025,0,6,1581,89,1984,3654,2365,39.3,20.8,95.7
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,NA,0,NA
3,State,Assam,106,0,0,6,0,8,14,92,86.8,0.8,100
4,State,Bihar,8150,0,0,314,836,3857,5007,3143,38.6,27.7,82.2
5,State,Chhattisgarh,307,0,0,2,4,219,225,82,26.7,0.7,98.2
6,State,Goa,5,0,0,0,1,1,2,3,60,0,50
7,State,Gujarat,1181,3,6,19,32,979,1030,142,12,1.3,96.8
8,State,Haryana,465,0,0,100,9,275,384,81,17.4,0.7,96.8
9,State,Himachal Pradesh,129,0,0,33,2,65,100,29,22.5,0.3,97
10,State,Jammu & Kashmir,1,0,0,0,0,0,0,1,100,0,NA
11,State,Jharkhand,1134,0,0,54,202,304,560,574,50.6,5.1,60.1
12,State,Karnataka,3102,2,10,417,73,1968,2458,632,20.4,5.6,96.4
13,State,Kerala,1009,0,0,181,113,346,640,369,36.6,3.2,75.4
14,State,Madhya Pradesh,3431,0,0,45,22,3147,3214,217,6.3,1.9,99.3
15,State,Maharashtra,1564,0,13,121,27,925,1073,478,30.6,4.2,97.2
16,State,Manipur,0,0,0,0,0,0,0,0,NA,0,NA
17,State,Meghalaya,0,0,0,0,0,0,0,0,NA,0,NA
18,State,Mizoram,0,0,0,0,0,0,0,0,NA,0,NA
19,State,Nagaland,0,0,0,0,0,0,0,0,NA,0,NA
20,State,Odisha,2746,0,0,187,67,1396,1650,1096,39.9,9.7,95.4
21,State,Punjab,131,0,0,22,6,50,78,53,40.5,0.5,89.3
22,State,Rajasthan,5611,0,0,2989,21,2235,5245,366,6.5,3.2,99.1
23,State,Sikkim,10,0,0,0,1,7,8,2,20,0,87.5
24,State,Tamil Nadu,2048,1,0,318,75,885,1278,769,37.5,6.8,92.2
25,State,Tripura,22,0,0,0,0,14,14,8,36.4,0.1,100
26,State,Uttar Pradesh,8424,0,0,1043,932,5818,7793,631,7.5,5.6,86.2
27,State,Uttarakhand,37,0,0,8,5,21,34,3,8.1,0,80.8
28,State,West Bengal,145,0,0,0,4,37,41,104,71.7,0.9,90.2
State,State,Total (States),45783,6,35,7440,2521,24541,34502,11240,24.6,99,90.7
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,NA,0,NA
30,Union Territory,Chandigarh,4,0,0,0,0,0,0,4,100,0,NA
31,Union Territory,D & N Haveli,1,0,0,0,0,0,0,1,100,0,NA
32,Union Territory,Daman & Diu,1,0,0,0,0,0,0,1,100,0,NA
33,Union Territory,Delhi,109,0,0,0,0,12,12,97,89,0.9,100
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,NA,0,NA
35,Union Territory,Puducherry,31,0,1,3,0,16,19,11,35.5,0.1,100
Union Territory,Union Territory,Total (UTs),146,0,1,3,0,28,31,114,78.1,1,100
Total (All-India),Total (All-India),Total (All-India),45929,6,36,7443,2521,24569,34533,11354,24.7,100,90.7
