Sl. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in Which - Investigation Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in Which - Investigation Completed - Charge Found False / Mistake of Fact or Law Etc. (Col. 5,Percentage of Cases to Total Cases for Investigation in Which - Investigation Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for Investigation in Which - Investigation Completed - Charge Sheets Submitted (Col. 7),Percentage of Cases to Total Cases for Investigation in Which - Investigation Completed (Total) (Col. 8) = Col. 5+6+7,No. of Cases Pending Investigation at the end of the year (Col. 9),Chargesheeting Rate (Col. 10) = Col. (7/6+7*100)
1,Murder (sec. 302 Ipc),0,0,7,2,61,70,30,96.8
2,Rape (sec.376 Ipc),0.1,0,2.6,5.4,67.6,75.7,24.2,92.6
3,"Kidnapping & Abduction (sec. 363-369, 371-373 Ipc)",0,0,12.4,6.5,54.1,73,27,89.3
4,Dacoity (sec.395-398 Ipc),0,0,8.3,25,16.7,50,50,40
5,"Robbery
(392-394, 397,398 Ipc)",0,0,6.3,12.5,56.3,75,25,81.8
6,"Arson
(sec.435, 436, 438 Ipc)",0,0,16.7,5.6,50,72.2,27.8,90
7,"Hurt
(sec.323-333, 335-338 Ipc)",0,0,11.5,6.6,62.5,80.6,19.4,90.4
8,"PCR Act, 1955 For Sts",0,0,11.1,0,33.3,44.4,55.6,100
9,"SC/ST Prev. Of Atrocities Act, 1989 For Sts",0.1,0.1,12.3,3.6,46.5,62.4,37.5,92.9
10,Other Crimes Against STs,0,0.1,25.9,2.9,52.7,81.6,18.3,94.8
11,Total,0,0.1,16.9,4,54.6,75.5,24.4,93.2
