Sl. No.,Category,State/UT,2010,2011,Percentage Variation in 2011 over 2010,Percentage Contribution to All–India during 2011
1,State,Andhra Pradesh,228605,238564,4.4,7.6
2,State,Arunachal Pradesh,2825,2312,-18.2,0.1
3,State,Assam,69890,67146,-3.9,2.1
4,State,Bihar,196289,252349,28.6,8
5,State,Chhattisgarh,72750,74017,1.7,2.4
6,State,Goa,3332,3319,-0.4,0.1
7,State,Gujarat,162043,167251,3.2,5.3
8,State,Haryana,64237,62708,-2.4,2
9,State,Himachal Pradesh,18768,17488,-6.8,0.6
10,State,Jammu & Kashmir,31641,43576,37.7,1.4
11,State,Jharkhand,51683,51069,-1.2,1.6
12,State,Karnataka,161618,166786,3.2,5.3
13,State,Kerala,197512,211771,7.2,6.7
14,State,Madhya Pradesh,343192,335644,-2.2,10.7
15,State,Maharashtra,305629,309756,1.4,9.8
16,State,Manipur,1306,1449,10.9,0
17,State,Meghalaya,1743,2135,22.5,0.1
18,State,Mizoram,2228,1601,-28.1,0.1
19,State,Nagaland,1066,1067,0.1,0
20,State,Odisha,89775,87129,-2.9,2.8
21,State,Punjab,49050,45423,-7.4,1.4
22,State,Rajasthan,177537,181407,2.2,5.8
23,State,Sikkim,946,718,-24.1,0
24,State,Tamil Nadu,211631,222124,5,7.1
25,State,Tripura,6835,10062,47.2,0.3
26,State,Uttar Pradesh,292050,384605,31.7,12.2
27,State,Uttarakhand,12792,10666,-16.6,0.3
28,State,West Bengal,146595,143608,-2,4.6
State,State,Total (states),2903568,3095750,6.6,98.4
29,Union Territory,A & N Islands,1028,828,-19.5,0
30,Union Territory,Chandigarh,2583,2690,4.1,0.1
31,Union Territory,D & N Haveli,585,568,-2.9,0
32,Union Territory,Daman & Diu,266,330,24.1,0
33,Union Territory,Delhi,33498,40014,19.5,1.3
34,Union Territory,Lakshadweep,15,76,406.7,0
35,Union Territory,Puducherry,5579,5589,0.2,0.2
Union Territory,Union Territory,Total (uts),43554,50095,15,1.6
Total (all-india),Total (all-india),Total (all-india),2947122,3145845,6.7,100
