Sl. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Murder (Sec.302 IPC),66150,4443,70593,93.7,6.3
2,Attempt to Commit Murder (Sec. 307 IPC),72895,3179,76074,95.8,4.2
3,"C.H. not Amounting Murder (Sec. 304, 308 IPC)",6928,160,7088,97.7,2.3
4,Rape (Sec. 376 IPC) - Total,28112,766,28878,97.3,2.7
4,Rape (Sec. 376 IPC) - Custodial Rape,1,0,1,100,0
4,Rape (Sec. 376 IPC) - Other Rape,28111,"7,662",8877,97.3,2.7
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total",54956,2527,57483,95.6,4.4
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls",43229,2134,45363,95.3,4.7
5,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others",11727,393,12120,96.8,3.2
6,Dacoity(Sec. 395-398 IPC),16758,250,17008,98.5,1.5
7,Preparation & Assembly for Dacoity (Sec. 399-402 IPC),11360,19,11379,99.8,0.2
8,"Robbery(Sec. 392-394,397,398 IPC)",35252,294,35546,99.2,0.8
9,"Burglary(Sec. 449-452,454,455,457-460 IPC)",66819,1549,68368,97.7,2.3
10,Theft(Sec. 379-382 IPC) - Total,197401,6806,204207,96.7,3.3
10,Theft(Sec. 379-382 IPC) - Auto Theft,57499,93,57592,99.8,0.2
10,Theft(Sec. 379-382 IPC) -other Theft,139902,6713,146615,95,5
11,"Riots(Sec. 143-145,147-151,153,153a,153b,157,158,160 IPC)",334525,19461,353986,94.5,5.5
12,Criminal Breach of Trust (Sec. 406-409 IPC),23284,760,24044,96.8,3.2
13,"Cheating (Sec. 419,420 IPC)",88147,4717,92864,94.9,5.1
14,"Counterfeiting (Sec. 231-254,489a-489d IPC)",2063,67,2130,96.9,3.1
15,"Arson (Sec. 435,436,438 IPC)",12077,303,12380,97.6,2.4
16,"Hurt (Sec. 323-333,335-338 IPC)",479835,36063,515898,93,7
17,Dowry Deaths (Sec. 304b IPC),19814,4764,24578,80.6,19.4
18,Molestation (Sec. 354 IPC),52069,1698,53767,96.8,3.2
19,Sexual Harassment (Sec. 509 IPC),9687,193,9880,98,2
20,Cruelty by Husband and Relatives (Sec. 498a IPC),139403,41298,180701,77.1,22.9
21,Importation of Girls (Sec. 366b IPC),203,18,221,91.9,8.1
22,Death Due to Negligence (304a IPC),90046,267,90313,99.7,0.3
23,Other IPC Crimes,1144506,63953,1208459,94.7,5.3
24,Total Cognizable Crimes Under IPC,2952290,193555,3145845,93.8,6.2
