Sl. No.,Year,7-12 Years,Percentage to Total,12-16 Years,Percentage to Total,16-18 Years,Percentage to Total,Total Apprehended
1,2001,3696,11,12729,37.9,17203,51.2,33628
2,2002,4488,12.5,13864,38.7,17427,48.7,35779
3,2003,3584,10.8,11687,35.1,18049,54.2,33320
4,2004,2107,6.8,12415,40.1,16421,53.1,30943
5,2005,1645,5,13090,40.1,17946,54.9,32681
6,2006,1595,5,12535,39,18015,56,32145
7,2007,1460,4.2,12114,35.1,20953,60.7,34527
8,2008,1281,3.7,12272,35.6,20954,60.7,34507
9,2009,1133,3.4,10741,31.9,21768,64.7,33642
10,2010,927,3.1,10123,33.4,19253,63.5,30303
11,2011,1211,3.6,11019,32.5,21657,63.9,33887
12,Percentage Change in 2011 Over 2001,-67.2,NA,-13.4,NA,25.9,NA,0.8
13,Percentage Change in 2011 Over 2010,30.6,NA,8.9,NA,12.5,NA,11.8
