Sl. No.,Category,State/UT,# Population (In Lakhs),"Murder
(Sec. 302 IPC) - Incidence","Murder
(Sec. 302 IPC) - Rate","Murder
(Sec. 302 IPC) - Percentage","Rape
(Sec. 376 IPC) - Incidence","Rape
(Sec. 376 IPC) - Rate","Rape
(Sec. 376 IPC) - Percentage","Kidnapping & Abduction
(Sec. 363-369, 371-373 IPC) - Incidence","Kidnapping & Abduction
(Sec. 363-369, 371-373 IPC) - Rate","Kidnapping & Abduction
(Sec. 363-369, 371-373 IPC) - Percentage","Dacoity
(Sec. 395-398 IPC) - Incidence","Dacoity
(Sec. 395-398 IPC) - Rate","Dacoity
(Sec. 395-398 IPC) - Percentage","Robbery
(Sec. 392-394, 397, 398 IPC) - Incidence","Robbery
(Sec. 392-394, 397, 398 IPC) - Rate","Robbery
(Sec. 392-394, 397, 398 IPC) - Percentage","Arson
(Sec. 435, 436, 438 IPC) - Incidence","Arson
(Sec. 435, 436, 438 IPC) - Rate","Arson
(Sec. 435, 436, 438 IPC) - Percentage","Hurt
(Sec. 323-333, 335-338 IPC) - Incidence","Hurt
(Sec. 323-333, 335-338 IPC) - Rate","Hurt
(Sec. 323-333, 335-338 IPC) - Percentage","Prot. of Civil Rights Act
(1955) - Incidence","Prot. of Civil Rights Act
(1955) - Rate","Prot. of Civil Rights Act
(1955) - Percentage","SC/ST Prev. of Attrocities Act
(1989) - Incidence","SC/ST Prev. of Attrocities Act
(1989) - Rate","SC/ST Prev. of Attrocities Act
(1989) - Percentage",Other offences - Incidence,Other offences - Rate,Other offences - Percentage,Total - Incidence,Total - Rate,Total - Percentage
1,State,Andhra Pradesh,846.65,64,0.1,9.5,131,0.2,8.4,19,0,3.1,1,0,2.8,0,0,0,14,0,8.3,708,0.8,16.7,10,0,14.9,1439,1.7,12.7,1630,1.9,10.9,4016,4.7,11.9
2,State,Arunachal Pradesh,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,311.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,State,Bihar,1038.04,29,0,4.3,29,0,1.9,29,0,4.7,3,0,8.3,3,0,5.6,13,0,7.7,355,0.3,8.4,0,0,0,3024,2.9,26.7,138,0.1,0.9,3623,3.5,10.7
5,State,Chhattisgarh,255.4,2,0,0.3,40,0.2,2.6,1,0,0.2,0,0,0,1,0,1.9,0,0,0,82,0.3,1.9,0,0,0,0,0,0,127,0.5,0.8,253,1,0.8
6,State,Goa,14.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,2,0.1,0,4,0.3,0
7,State,Gujarat,603.83,12,0,1.8,45,0.1,2.9,35,0.1,5.7,9,0,25,19,0,35.2,10,0,5.9,279,0.5,6.6,2,0,3,192,0.3,1.7,460,0.8,3.1,1063,1.8,3.2
8,State,Haryana,253.53,14,0.1,2.1,56,0.2,3.6,18,0.1,2.9,1,0,2.8,0,0,0,6,0,3.6,28,0.1,0.7,0,0,0,150,0.6,1.3,135,0.5,0.9,408,1.6,1.2
9,State,Himachal Pradesh,68.57,1,0,0.1,5,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4.5,82,1.2,0.7,3,0,0,94,1.4,0.3
10,State,Jammu & Kashmir,125.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,0,0,0,0,0,0,1,0,0
