Sl. No. (Col.1),Category (Col.2),State/UT (Col.3),Total No. of Cases for Trial Including Pending Cases from previous year (Col.4),Cases With - Drawn by Govt. (Col.5),No. of Cases Compounded or With-drawn (Col.6),No. of Cases In Which Trials Were Completed (Convicted) (Col.7),No. of Cases In Which Trials Were Completed (Acquitted Or Discharged) (Col.8),No. of Cases In Which Trials Were Completed (Total) (Col.9) = {(Col.7)+(Col.8)},No. of Cases Pending trial at the end of the year (Col.10),Pendency Percentage (Col.11),Percentage of Pendency to All India Total (Col.12),Conviction Rate (Col.13) = {(Col.7)/(Col.9)}× 100
1,State,Andhra Pradesh,475808,53,24248,36911,73735,110646,340914,71.6,4.5,33.4
2,State,Arunachal Pradesh,17186,0,177,227,284,511,16498,96,0.2,44.4
3,State,Assam,123599,0,3646,4744,19132,23876,96077,77.7,1.3,19.9
4,State,Bihar,637136,0,11495,8792,47949,56741,568900,89.3,7.5,15.5
5,State,Chhattisgarh,224408,0,7514,13364,16578,29942,186952,83.3,2.5,44.6
6,State,Goa,9255,0,33,320,917,1237,7985,86.3,0.1,25.9
7,State,Gujarat,938430,4,2066,25301,39373,64674,871690,92.9,11.5,39.1
8,State,Haryana,176430,0,185,10685,31203,41888,134357,76.2,1.8,25.5
9,State,Himachal Pradesh,68808,0,1153,1326,3960,5286,62369,90.6,0.8,25.1
10,State,Jammu & Kashmir,95671,0,2746,5140,5032,10172,82753,86.5,1.1,50.5
11,State,Jharkhand,87717,0,1017,6517,15739,22256,64444,73.5,0.9,29.3
12,State,Karnataka,375061,300,6248,28294,49888,78182,290631,77.5,3.8,36.2
13,State,Kerala,521648,77,4198,63500,33844,97344,420106,80.5,5.6,65.2
14,State,Madhya Pradesh,772116,5901,50036,62260,83347,145607,576473,74.7,7.6,42.8
15,State,Maharashtra,1466075,65,24723,8168,91348,99516,1341836,91.5,17.7,8.2
16,State,Manipur,2805,0,2,28,26,54,2749,98,0,51.9
17,State,Meghalaya,10048,0,119,289,410,699,9230,91.9,0.1,41.3
18,State,Mizoram,2608,0,21,1054,123,1177,1410,54.1,0,89.5
19,State,Nagaland,2533,0,14,1050,143,1193,1326,52.3,0,88
20,State,Odisha,383031,0,0,3544,30776,34320,348711,91,4.6,10.3
21,State,Punjab,115714,0,338,8729,13725,22454,92922,80.3,1.2,38.9
22,State,Rajasthan,541539,42,16174,46825,25774,72599,452766,83.6,6,64.5
23,State,Sikkim,1429,0,10,142,154,296,1123,78.6,0,48
24,State,Tamil Nadu,388442,8,635,68222,41599,109821,277986,71.6,3.7,62.1
25,State,Tripura,18933,0,182,401,2350,2751,16000,84.5,0.2,14.6
26,State,Uttar Pradesh,528084,45,5368,72480,49057,121537,401179,76,5.3,59.6
27,State,Uttarakhand,29517,2,223,1983,1045,3028,26266,89,0.3,65.5
28,State,West Bengal,670534,44,2255,3298,21405,24703,643576,96,8.5,13.4
State,State,Total (states),8684565,6541,164826,483594,698916,1182510,7337229,84.5,97,40.9
29,Union Territory,A & N Islands,6610,0,0,55,22,77,6533,98.8,0.1,71.4
30,Union Territory,Chandigarh,7295,0,0,664,684,1348,5947,81.5,0.1,49.3
31,Union Territory,D & N Haveli,2445,0,0,12,81,93,2352,96.2,0,12.9
32,Union Territory,Daman & Diu,639,0,51,30,108,138,450,70.4,0,21.7
33,Union Territory,Delhi,228826,0,0,12177,13139,25316,203510,88.9,2.7,48.1
34,Union Territory,Lakshadweep,201,0,0,37,14,51,150,74.6,0,72.5
35,Union Territory,Puducherry,8580,1,43,1427,265,1692,6845,79.8,0.1,84.3
Union Territory,Union Territory,Total (UTs),254596,1,94,14402,14313,28715,225787,88.7,3,50.2
Total (All-India),Total (All-India),Total (All-India),8939161,6542,164920,497996,713229,1211225,7563016,84.6,100,41.1
