Sl. No.,Crime Head,2010,2011,Percentage Variation in 2011 over 2010,Percentage Share of Arrestees under each Crime During 2011,
1,Arms Act,80279,67209,-16.3,1.6,
2,Narcotic Drugs & Psychotropic Substances Act,34544,30853,-10.7,0.7,
3,Gambling Act,352642,350075,-0.7,8.1,
4,Excise Act,185956,152445,-18,3.5,
5,Prohibition Act,416152,426259,2.4,9.9,
6,Explosives & Explosive Substances Act,4850,4813,-0.8,0.1,
7,Immoral Traffic (p) Act,6775,7581,11.9,0.2,
8,Indian Railways Act,85,241,183.5,0,
9,The Foreigners Act,2449,2259,-7.8,0.1,
10,Protection Of Civil Rights Act,353,344,-2.5,0,
11,Protection Of Civil Rights Act- PCR Act For SCs,342,337,-1.5,0,
12,Protection Of Civil Rights Act - PCR Act For STs,11,7,-36.4,0,
13,Indian Passport Act,1497,1322,-11.7,0,
14,Essential Commodities Act,11795,13374,13.4,0.3,
15,Terrorist & Disruptive Activities Act,0,0,NA,NA,
16,Antiquities & Art Treasures Act,102,108,5.9,0,
17,Dowry Prohibition Act,12080,12372,2.4,0.3,
18,Prohibition Of Child Marriage Act*,204,329,61.3,0,
19,Indecent Representation Of Women (p) Act,958,461,-51.9,0,
20,Copyright Act,9668,9069,-6.2,0.2,
21,Sati Prevention Act,0,0,NA,NA,
22,SC/ST (prevention Of Atrocities) Act,18681,23732,27,0.6,
23,SC/ST (prevention Of Atrocities) Act - Prevention Of Attrocities Act For SCs,16801,21981,30.8,0.5,
24,SC/ST (prevention Of Atrocities) Act - Prevention Of Attrocities Act For STs,1880,1751,-6.9,0,
25,Forest Act,8119,10331,27.2,0.2,
26,Other SLL Crimes,3695626,3199236,-13.4,74.2,
27,Total Cognizable Crimes Under SLL,4842815,4312413,-11,100,
