Sr. No.,Category,State/UT,2009,2010,2011,Percentage Variation in 2010 over 2009,Percentage Variation in 2011 over 2010
1,State,Andhra Pradesh,12,3,46,75,1433.3
2,State,Arunachal Pradesh,0,0,0,NA,NA
3,State,Assam,4,1,0,75,100
4,State,Bihar,33,2,3,93.9,50
5,State,Chhattisgarh,2,5,3,150,40
6,State,Goa,0,2,1,NA,50
7,State,Gujarat,3,0,1,100,NA
8,State,Haryana,7,6,4,14.3,33.3
9,State,Himachal Pradesh,1,0,0,100,NA
10,State,Jammu & Kashmir,0,1,0,NA,100
11,State,Jharkhand,1,0,0,100,NA
12,State,Karnataka,6,6,1,0,83.3
13,State,Kerala,2,2,11,0,450
14,State,Madhya Pradesh,21,6,4,71.4,33.3
15,State,Maharashtra,17,35,33,105.9,5.7
16,State,Manipur,0,0,0,NA,NA
17,State,Meghalaya,0,0,0,NA,NA
18,State,Mizoram,0,0,0,NA,NA
19,State,Nagaland,0,0,0,NA,NA
20,State,Odisha,0,0,0,NA,NA
21,State,Punjab,14,11,8,21.4,27.3
22,State,Rajasthan,5,10,7,100,30
23,State,Sikkim,0,0,0,NA,NA
24,State,Tamil Nadu,7,29,7,314.3,75.9
25,State,Tripura,0,0,0,NA,NA
26,State,Uttar Pradesh,24,23,21,4.2,8.7
27,State,Uttarakhand,15,4,4,73.3,0
28,State,West Bengal,1,2,2,100,0
State,State,Total (States),175,148,156,15.4,5.4
29,Union Territory,A & N Islands,0,0,0,NA,NA
30,Union Territory,Chandigarh,0,0,0,NA,NA
31,Union Territory,D & N Haveli,0,0,0,NA,NA
32,Union Territory,Daman & Diu,0,0,0,NA,NA
33,Union Territory,Delhi,0,0,0,NA,NA
34,Union Territory,Lakshadweep,0,0,0,NA,NA
35,Union Territory,Puducherry,0,0,0,NA,NA
Union Territory,Union Territory,Total (UTs),0,0,0,NA,NA
Total (All India),Total (All India),Total (All India),175,148,156,15.4,5.4
