Sr. No.,Category,State/UT,No. of Victims (Upto 10 Years) - Male,No. of Victims (Upto 10 Years) - Female,No. of Victims (Upto 10 Years) - Total,No. of Victims (10-15 Years) - Male,No. of Victims (10-15 Years) - Female,No. of Victims (10-15 Years) -Total,No. of Victims (15-18 Years) - Male,No. of Victims (15-18 Years) - Female,No. of Victims (15-18 Years) - Total,No. of Victims (18-30 Years) - Male,No. of Victims (18-30 Years) - Female,No. of Victims (18-30 Years) - Total,No. of Victims (30-50 Years) - Male,No. of Victims (30-50 Years) - Female,No. of Victims (30-50 Years) - Total,No. of Victims (Above 50 Years) - Male,No. of Victims (Above 50 Years) - Female,No. of Victims (Above 50 Years) - Total,Total of all age groups - Male,Total of all age groups - Female,Total of all age groups - Total
1,State,Andhra Pradesh,35,21,56,5,9,14,7,24,31,583,434,1017,934,369,1303,271,116,387,1835,973,2808
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,38,4,42,21,1,22,1,0,1,60,5,65
3,State,Assam,0,0,0,0,0,0,8,0,8,741,64,805,411,31,442,48,0,48,1208,95,1303
4,State,Bihar,18,10,28,26,9,35,40,21,61,1322,390,1712,1033,157,1190,155,17,172,2594,604,3198
5,State,Chhattisgarh,16,12,28,14,7,21,16,11,27,249,126,375,329,135,464,128,67,195,752,358,1110
6,State,Goa,0,1,1,1,0,1,0,0,0,15,6,21,17,3,20,5,1,6,38,11,49
7,State,Gujarat,30,31,61,6,1,7,9,3,12,376,144,520,347,106,453,58,33,91,826,318,1144
8,State,Haryana,2,3,5,3,1,4,6,1,7,402,80,482,428,88,516,84,27,111,925,200,1125
9,State,Himachal Pradesh,2,3,5,1,1,2,0,2,2,30,12,42,55,7,62,15,7,22,103,32,135
10,State,Jammu & Kashmir,2,1,3,0,1,1,7,0,7,44,19,63,76,9,85,18,3,21,147,33,180
11,State,Jharkhand,0,0,0,1,0,1,28,3,31,917,140,1057,521,99,620,79,13,92,1546,255,1801
12,State,Karnataka,32,41,73,2,4,6,21,14,35,445,345,790,504,283,787,153,76,229,1157,763,1920
13,State,Kerala,24,25,49,1,3,4,1,3,4,47,22,69,109,51,160,76,33,109,258,137,395
14,State,Madhya Pradesh,30,21,51,24,8,32,36,8,44,753,286,1039,770,262,1032,263,94,357,1876,679,2555
15,State,Maharashtra,78,63,141,16,18,34,30,21,51,685,538,1223,826,292,1118,252,102,354,1887,1034,2921
16,State,Manipur,1,1,2,2,1,3,1,0,1,30,5,35,45,5,50,6,1,7,85,13,98
17,State,Meghalaya,1,0,1,4,0,4,3,0,3,61,5,66,77,6,83,12,1,13,158,12,170
18,State,Mizoram,0,0,0,1,0,1,0,0,0,2,1,3,12,7,19,2,1,3,17,9,26
19,State,Nagaland,0,0,0,0,1,1,3,1,4,9,2,11,21,2,23,8,0,8,41,6,47
20,State,Odisha,4,3,7,0,1,1,9,1,10,356,254,610,553,208,761,60,28,88,982,495,1477
21,State,Punjab,14,7,21,10,2,12,8,0,8,269,113,382,266,103,369,56,18,74,623,243,866
22,State,Rajasthan,19,13,32,10,6,16,17,10,27,484,140,624,508,119,627,91,44,135,1129,332,1461
23,State,Sikkim,0,0,0,0,0,0,0,0,0,2,1,3,5,4,9,2,0,2,9,5,14
24,State,Tamil Nadu,41,49,90,9,3,12,15,19,34,440,233,673,610,220,830,200,101,301,1315,625,1940
25,State,Tripura,12,1,13,0,0,0,0,0,0,27,47,74,49,15,64,11,1,12,99,64,163
26,State,Uttar Pradesh,52,44,96,49,44,93,70,67,137,2149,511,2660,1363,299,1662,308,75,383,3991,1040,5031
27,State,Uttarakhand,2,0,2,4,0,4,3,0,3,63,32,95,55,12,67,19,1,20,146,45,191
28,State,West Bengal,6,1,7,4,7,11,25,3,28,703,419,1122,650,251,901,49,149,198,1437,830,2267
State,State,Total (states),421,351,772,193,127,320,363,212,575,11242,4373,15615,10595,3144,13739,2430,1009,3439,25244,9216,34460
29,Union Territory,A & N Islands,0,0,0,1,0,1,0,0,0,1,5,6,2,3,5,2,1,3,6,9,15
30,Union Territory,Chandigarh,0,0,0,0,0,0,1,2,3,11,1,12,7,2,9,1,0,1,20,5,25
31,Union Territory,D & N Haveli,1,0,1,0,0,0,1,0,1,6,2,8,3,0,3,1,0,1,12,2,14
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,3,3,2,4,6
33,Union Territory,Delhi,12,11,23,11,1,12,16,14,30,212,69,281,160,28,188,20,15,35,431,138,569
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,10,2,12,14,1,15,7,0,7,31,3,34
Union Territory,Union Territory,Total (UTs),13,11,24,12,1,13,18,16,34,241,80,321,187,34,221,31,19,50,502,161,663
Total (All-India,Total (All-India,Total (All-India,434,362,796,205,128,333,381,228,609,11483,4453,15936,10782,3178,13960,2461,1028,3489,25746,9377,35123
