Sl. No. (Col. 1),Crime Head (Col. 2),Cases With- Drawn by Govt (Col. 3),Percentage of Cases to Total Cases for investigation in Which - investigation Refused (Col. 4),Percentage of Cases to Total Cases for investigation in Which - investigation Completed (Charge Found False/ Mistake of Fact or Law Etc.) (Col. 5),Percentage of Cases to Total Cases for investigation in Which - investigation Completed (Final Report True Submitted) (Col. 6),Percentage of Cases to Total Cases for investigation in Which - investigation Completed (Charge Sheets Submitted) (Col. 7),Percentage of Cases to Total Cases for investigation in Which - investigation Completed (Total) (Col. 8) = Col. 5+6+7,No. of Cases Pending investigation at the end of the year (Col. 9),Charge Sheeting Rate (Col. 10) = Col. (7/6+7*100)
1,Murder (Sec. 302 IPC),0,0,5.3,3.4,69.1,77.8,22.2,95.3
2,Rape (Sec.376 IPC),0.1,0,8.6,2.5,69.2,80.2,19.6,96.6
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",0.1,0,9.2,12.6,59.2,81,18.8,82.4
4,Dacoity (Sec.395-398 IPC),0,0,7.8,9.4,43.8,60.9,39.1,82.4
5,"Robbery (392-394, 397,398 IPC)",0,0,11.4,3.4,65.9,80.7,19.3,95.1
6,"Arson (Sec.435, 436, 438 IPC)",0,0.4,12.7,6.5,55.5,74.7,24.9,89.5
7,"Hurt (Sec.323-333, 335-338 IPC)",0,0,13.9,4.5,58.4,76.8,23.2,92.8
8,"Pcr Act, 1955 for Scs",0,1.7,25.2,0,40.3,65.5,32.8,100
9,"SC/ST Prev. of Atrocities Act, 1989 for Scs",0,0.1,10.8,6.7,47.7,65.2,34.7,87.6
10,Other Crimes Against Scs,0,0.1,23.9,4.7,55.2,83.8,16.1,92.2
11,Total,0,0.1,16.2,5.5,53.5,75.2,24.7,90.7
