Sl. No.,Crime Head,Total No. Persons Under Arrest Including those from Previous Year,No. of Persons Released Before Trial,Percentage to Total of Persons Released Before Trial,No. of Persons Charge Sheeted,Percentage to Total of Persons Charge Sheeted,No. of Persons Under Investigation at the end of the Year,Percentage to Total of Persons Under Investigation at the end of The Year
1,Murder (Sec. 302 IPC),2311,173,7.5,1770,76.6,368,15.9
2,Rape (Sec.376 IPC),2428,187,7.7,1946,80.1,295,12.1
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",1568,390,24.9,923,58.9,255,16.3
4,Dacoity (Sec.395-398 IPC),341,14,4.1,259,76,68,19.9
5,"Robbery (392-394, 397,398 IPC)",203,27,13.3,144,70.9,32,15.8
6,"Arson (Sec.435, 436, 438 IPC)",602,66,11,431,71.6,105,17.4
7,"Hurt (Sec.323-333, 335-338 IPC)",10016,444,4.4,7421,74.1,2151,21.5
8,"PCR Act, 1955 for SCs",408,8,2,356,87.3,44,10.8
9,"SC/ST Prev. of Atrocities Act, 1989 for Scs",27704,2069,7.5,18273,66,7362,26.6
10,Other Crimes Against Scs,33665,5176,15.4,24403,72.5,4086,12.1
11,Total,79246,8554,10.8,55926,70.6,14766,18.6
