Sl No. (Col. 1),Crime Head (Col. 2),Total No. for Cases for Trial Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in Which - Compounded or Withdrawn (Col. 5),No. of Cases - in Which Trials Completed - Convicted (Col. 6),No. of Cases - in Which Trials Completed - Acquitted or Discharged (Col. 7),No. of Cases - in Which Trials Completed - Total (Col. 8) = Col. 6+7,Pending Trial at the end of the year (Col. 9)
1,Murder (Sec. 302 IPC),698,0,0,38,74,112,586
2,Rape (Sec.376 IPC),2617,0,0,115,388,503,2114
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",407,0,2,8,66,74,331
4,Dacoity (Sec..395-398 IPC),29,0,0,0,5,5,24
5,"Robbery
(Sec. 392-394, 397,398 IPC)",63,0,0,2,3,5,58
6,"Arson
(Sec.435, 436, 438 IPC)",162,0,0,2,14,16,146
7,"Hurt
(Sec.323-333, 335-338 IPC)",3077,0,31,101,420,521,2525
8,"PCR Act, 1955 for Sts",31,0,0,0,14,14,17
9,"SC/ST Prev. of Atrocities Act, 1989 for Sts",4808,0,37,140,864,1004,3767
10,Other Crimes Against Sts,8637,2,87,349,1325,1674,6876
11,Total,20529,2,157,755,3173,3928,16444
