Sl. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt (Col. 3),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 4),Percentage of Cases to Total Cases for Trial - No. of Cases - in Which Trials Completed - Convicted (Col. 5),Percentage of Cases to Total Cases for Trial - No. of Cases - in Which Trials Completed - Acquitted or Discharged (Col. 6),Percentage of Cases to Total Cases for Trial - No. of Cases - in Which Trials Completed - Total (Col. 7) = Col. (5+6),Percentage of Cases to Total Cases for Trial - Pending Trial at the end of the year (Col. 8),Conviction Rate (Col. 9) = Col. (5/7*100)
1,Infanticide (Sec.315 IPC),0,0.4,13.4,15.2,28.6,71,46.9
2,Murder (Sec.302 IPC),0,0.1,7.5,8.9,16.4,83.6,45.5
3,Rape (Sec.376 IPC),0,0.1,5.2,11,16.2,83.7,31.9
4,"Kidnapping .& Abduction ((Sec.363-369,371-373 IPC)",0,0.1,5.7,10.7,16.3,83.6,34.8
5,"Foeticide (Sec.315,316 IPC)",0,0.8,5.5,14.2,19.7,79.5,28
6,Abetment to Suicide (Sec.305 IPC),0,0,3.4,13.4,16.8,83.2,20
7,Exposure and Abandonment (Sec. 317 IPC),0,0.5,1.6,7.7,9.3,90.2,17.3
8,Procuration Minor Girls (Sec. 366A IPC),0,0,4,13.4,17.5,82.5,23.2
9,Buying of Girls for Prost. (Sec.373 IPC),0,0.6,1.3,7.7,9,90.3,14.3
10,Selling of Girls for Prost. (Sec.372 IPC),0,0,1.2,4.4,5.6,94.4,21.4
11,Prohibition of Child Marriage Act 2006,0,0.5,4.3,7.8,12.1,87.4,35.3
12,Other Crimes,0,2,6.1,11.2,17.3,80.7,35.4
13,Total,0,0.7,5.7,10.8,16.5,82.8,34.6
