Sl. No. (Col. 1) ,Crime Head (Col. 2),Total No. of Cases for Investigation Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in Which - Investigation Refused (Col. 5),No. of Cases in Which - Investigation Completed - Charge Found False / Mistake of Fact or Law Etc. (Col. 6),No. of Cases in Which - Investigation Completed -Final Report True Submitted (Col. 7),No. of Cases in Which - Investigation Completed - Charge Sheets Submitted (Col. 8),No. of Cases in Which - Investigation Completed - Total (Col. 9) = Col. 6+7+8,No. of Cases Pending Investigation at the end of the year (Col. 10)
1,Murder (Sec. 302 IPC),200,0,0,14,4,122,140,60
2,Rape (Sec.376 IPC),957,1,0,25,52,647,724,232
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",185,0,0,23,12,100,135,50
4,Dacoity (Sec.395-398 IPC),12,0,0,1,3,2,6,6
5,"Robbery
(392-394, 397,398 IPC)",16,0,0,1,2,9,12,4
6,"Arson
(Sec.435, 436, 438 IPC)",36,0,0,6,2,18,26,10
7,"Hurt
(Sec.323-333, 335-338 IPC)",1000,0,0,115,66,625,806,194
8,"Pcr Act, 1955 for Sts",9,0,0,1,0,3,4,5
9,"SC/ST Prev. of Atrocities Act, 1989 for Sts",1791,1,2,220,64,832,1116,672
10,Other Crimes Against Sts,3366,1,5,873,98,1774,2745,615
11,Total,7572,3,7,1279,303,4132,5714,1848
