Sl. No. (Col.1),Category (Col.2),State/UT (Col 3),Total No. of Cases for investigation including Pending Cases from previous year (Col.4),Cases With- drawn by Govt. (Col.5),No. of Cases in Which - investigation was Refused (Col.6),No. of Cases in Which - investigation Was Completed (Charge Found False / Mistake of Fact Or Law Etc) (Col.7),No. of Cases in Which - investigation Was Completed (Final Report True Submitted) (Col. 8),No. of Cases in Which - investigation Was Completed (Charge Sheets Submitted) (Col.9),No. of Cases in Which - Investigation Was Completed (Total) (Col.10) = {(Col.7) + (Col.8) + (Col.9)},No. of Cases Pending investigation at the end of the year (Col.11),Pendency Percentage (Col.12),Percentage of Pendency to All India Total (Col. 13),"Charge Sheeting Rate (Col.14) = {(Col.9)/
(Col.8 + 9) × 100}"
1,State,Andhra Pradesh,241502,0,0,19685,19561,144007,183253,58249,24.1,6.8,88
2,State,Arunachal Pradesh,3808,0,0,0,864,1249,2113,1695,44.5,0.2,59.1
3,State,Assam,142823,0,1097,6404,23471,27920,57795,83931,58.8,9.8,54.3
4,State,Bihar,245409,0,0,6794,40154,114979,161927,83482,34,9.7,74.1
5,State,Chhattisgarh,64304,0,10,174,9536,47451,57161,7133,11.1,0.8,83.3
6,State,Goa,5885,0,0,79,1509,1769,3357,2528,43,0.3,54
7,State,Gujarat,140800,12,90,401,18897,101903,121201,19497,13.8,2.3,84.4
8,State,Haryana,74805,0,0,2956,17911,35812,56679,18126,24.2,2.1,66.7
9,State,Himachal Pradesh,17354,0,0,939,1795,9984,12718,4636,26.7,0.5,84.8
10,State,Jammu & Kashmir,34489,5,3,2409,3832,20086,26327,8154,23.6,1,84
11,State,Jharkhand,61600,0,2,867,10578,25080,36525,25073,40.7,2.9,70.3
12,State,Karnataka,198428,0,768,6303,33246,110297,149846,47814,24.1,5.6,76.8
13,State,Kerala,194069,1,11,4356,6897,149817,161070,32987,17,3.9,95.6
14,State,Madhya Pradesh,227073,1,136,437,30149,183768,214354,12582,5.5,1.5,85.9
15,State,Maharashtra,313442,3,193,3672,57508,139104,200284,112962,36,13.2,70.8
16,State,Manipur,15214,0,0,0,1667,116,1783,13431,88.3,1.6,6.5
17,State,Meghalaya,8947,0,0,5,904,1150,2059,6888,77,0.8,56
18,State,Mizoram,2127,0,0,0,112,1431,1543,584,27.5,0.1,92.7
19,State,Nagaland,1692,3,0,0,286,879,1165,524,31,0.1,75.5
20,State,Odisha,87460,0,28,2224,8371,52574,63169,24263,27.7,2.8,86.3
21,State,Punjab,54181,0,0,2373,7636,23887,33896,20285,37.4,2.4,75.8
22,State,Rajasthan,173125,0,18,48770,23496,93079,165345,7762,4.5,0.9,79.8
23,State,Sikkim,813,0,0,0,97,331,428,385,47.4,0,77.3
24,State,Tamil Nadu,270206,10,3,16273,19040,132725,168038,102155,37.8,11.9,87.5
25,State,Tripura,7279,0,0,0,1161,5163,6324,955,13.1,0.1,81.6
26,State,Uttar Pradesh,217459,0,0,14539,55556,121688,191783,25676,11.8,3,68.7
27,State,Uttarakhand,9927,0,0,350,2252,5641,8243,1684,17,0.2,71.5
28,State,West Bengal,218110,0,20,512,29691,103139,133342,84748,38.9,9.9,77.6
State,State,Total (states),3032331,35,2379,140522,426177,1655029,2221728,808189,26.7,94.4,79.5
29,Union Territory,A & N Islands,1466,0,0,0,186,672,858,608,41.5,0.1,78.3
30,Union Territory,Chandigarh,6105,0,0,60,1891,2151,4102,2003,32.8,0.2,53.2
31,Union Territory,D & N Haveli,761,0,0,6,101,266,373,388,51,0,72.5
32,Union Territory,Daman & Diu,379,0,0,0,91,133,224,155,40.9,0,59.4
33,Union Territory,Delhi,100416,302,146,2182,25329,28492,56003,43965,43.8,5.1,52.9
34,Union Territory,Lakshadweep,209,0,0,0,93,63,156,53,25.4,0,40.4
35,Union Territory,Puducherry,4659,0,23,34,444,3075,3553,1083,23.2,0.1,87.4
Union Territory,Union Territory,Total (uts),113995,302,169,2282,28135,34852,65269,48255,42.3,5.6,55.3
Total All-India),Total All-India),Total All-India),3146326,337,2548,142804,454312,1689881,2286997,856444,27.2,100,78.8
