Sl. No.,Category,State/UT,Pending Investigation from Previous Year,Cases Regd. During the Year,Total Cases for Investigation,Cases Investigated,Cases not Investigated or Investigation Dropped,Cases Declared False Etc. During Year,Cases ChargeSheeted,Cases in Which Final Report Submitted,Cases Pending Investigation at the end of Year,Percentage of Cases Charge Sheeted to Total Cases Investigated,Cases Resulted in Recovery or Seizure,Value of Property Recovered / Seized (In Rs. ''000),Cases Pending Trial from the Previous Year,Cases Sent Up for Trial During the Year,Total Cases for Trial,Cases Withdrawn/ Discharged or Other Wise Disposed Cases Withdrawn/ Discharged or Other Wise Disposed of,Trials Completed During the Year,Cases Convicted,Cases Acquitted or Discharged,Pending Trial at the end of The Year,Percentage of Cases Convicted to Trials Completed,Total Amt. of Fine Imposed During the Year (In Rs. ''000),"Cases Transferred to Local
Police",Cases Pending for Prosecution,Cases Sent Up for Trial and Also Reported for Dept. Action,Cases Reported for Regular Departmental Action,Cases Reported for Suitable Action
1,State,Andhra Pradesh,305,236,541,241,0,0,199,18,300,82.6,236,31450.9,1081,199,1280,8,192,93,99,1080,48.4,1213,0,18,175,9,0
2,State,Arunachal Pradesh,18,11,29,7,0,0,5,2,29,71.4,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,64,8,72,72,0,1,1,1,70,1.4,0,0,38,1,39,0,5,3,2,34,60,300,0,10,0,0,0
4,State,Bihar,185,91,276,276,0,0,91,1,185,33,74,1830.5,956,91,1028,4,15,11,4,1030,73.3,194,0,88,91,91,0
5,State,Chhattisgarh,132,61,193,189,0,0,35,2,136,18.5,60,22356.8,144,35,179,2,10,6,4,167,60,16,0,48,0,0,0
6,State,Goa,7,1,8,8,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7,State,Gujarat,192,210,402,236,0,7,232,6,135,98.3,196,7371.9,1127,232,1359,4,115,47,68,1210,40.9,332.7,1,107,2,3,0
8,State,Haryana,184,105,289,256,15,9,125,16,179,48.8,34,308,524,125,649,53,194,72,122,402,37.1,302,0,21,73,0,0
9,State,Himachal Pradesh,259,118,377,377,0,6,105,39,239,27.9,47,42905,442,105,547,0,183,29,154,364,15.8,709.6,0,25,138,7,26
10,State,Jammu & Kashmir,154,56,210,56,2,2,54,13,154,96.4,11,607.5,470,54,524,3,20,9,11,501,45,1958,0,21,0,0,0
