Sl. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for Investigation Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),Investigation Refused (Col. 5),No. of Cases in Which - investigation Completed (Charge Found False / Mistake of Fact or Law Etc.) (Col. 6),No. of Cases in Which - investigation Completed (Final Report True Submitted) (Col. 7),No. of Cases in Which - investigation Completed (Charge Sheets Submitted) (Col. 8),No. of Cases in Which - investigation Completed (Total) (Col. 9) = Col. 6+7+8,No. of Cases Pending investigation at the end of the year (Col. 10),
1,Murder (Sec. 302 IPC),824,0,0,44,28,569,641,183,
2,Rape (Sec.376 IPC),1863,2,0,160,46,1289,1495,366,
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",759,1,0,70,96,449,615,143,
4,Dacoity (Sec.395-398 IPC),64,0,0,5,6,28,39,25,
5,"Robbery (392-394, 397,398 IPC)",88,0,0,10,3,58,71,17,
6,"Arson (Sec.435, 436, 438 IPC)",245,0,1,31,16,136,183,61,
7,"Hurt (Sec.323-333, 335-338 IPC)",5716,0,1,796,259,3336,4391,1324,
8,"Pcr Act, 1955 for Scs",119,0,2,30,0,48,78,39,
9,"Sc/st Prev. of Atrocities Act, 1989 for Scs",17999,3,13,1937,1214,8578,11729,6254,
10,Other Crimes Against Scs,18252,0,19,4360,853,10078,15291,2942,
11,Total,45929,6,36,7443,2521,24569,34533,11354,
