Sr. No.,Category,State/UT,No. of Victims (Upto 10 Years) - Male,No. of Victims (Upto 10 Years) - Female,No. of Victims (Upto 10 Years) - Total,No. of Victims (10-15 Years) - Male,No. of Victims (10-15 Years) - Female,No. of Victims (10-15 Years) -Total,No. of Victims (15-18 Years) - Male,No. of Victims (15-18 Years) - Female,No. of Victims (15-18 Years) - Total,No. of Victims (18-30 Years) - Male,No. of Victims (18-30 Years) - Female,No. of Victims (18-30 Years) - Total,No. of Victims (30-50 Years) - Male,No. of Victims (30-50 Years) - Female,No. of Victims (30-50 Years) - Total,No. of Victims (Above 50 Years) - Male,No. of Victims (Above 50 Years) - Female,No. of Victims (Above 50 Years) - Total,Total of all age groups - Male,Total of all age groups - Female,Total of all age groups - Total
1,State,Andhra Pradesh,3,2,5,3,0,3,2,0,2,50,7,57,48,17,65,27,12,39,133,38,171
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
3,State,Assam,0,0,0,0,0,0,8,0,8,37,0,37,3,0,3,0,0,0,48,0,48
4,State,Bihar,0,0,0,3,1,4,8,4,12,156,12,168,122,21,143,16,5,21,305,43,348
5,State,Chhattisgarh,1,0,1,2,0,2,0,0,0,11,0,11,13,0,13,1,0,1,28,0,28
6,State,Goa,0,1,1,2,0,2,0,1,1,4,1,5,3,0,3,0,0,0,9,3,12
7,State,Gujarat,2,0,2,0,1,1,0,3,3,15,10,25,18,10,28,1,0,1,36,24,60
8,State,Haryana,2,0,2,0,0,0,3,0,3,19,3,22,29,4,33,2,0,2,55,7,62
9,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,2,2,4,0,4,0,0,0,4,2,6
10,State,Jammu & Kashmir,1,0,1,0,0,0,0,0,0,16,0,16,17,0,17,1,0,1,35,0,35
11,State,Jharkhand,0,0,0,0,0,0,0,0,0,48,2,50,28,0,28,5,0,5,81,2,83
12,State,Karnataka,1,1,2,1,0,1,2,0,2,53,4,57,32,4,36,3,0,3,92,9,101
13,State,Kerala,5,5,10,3,3,6,0,1,1,17,3,20,61,14,75,26,6,32,112,32,144
14,State,Madhya Pradesh,5,8,13,8,0,8,5,2,7,37,7,44,44,14,58,10,2,12,109,33,142
15,State,Maharashtra,5,8,13,1,1,2,7,2,9,63,18,81,58,12,70,15,5,20,149,46,195
16,State,Manipur,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,2,3,1,4
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,10,0,10
18,State,Mizoram,1,0,1,2,0,2,0,0,0,3,0,3,0,0,0,2,0,2,8,0,8
19,State,Nagaland,1,0,1,0,0,0,0,0,0,2,0,2,8,0,8,0,0,0,11,0,11
20,State,Odisha,0,0,0,0,0,0,0,0,0,13,5,18,28,5,33,0,0,0,41,10,51
21,State,Punjab,6,2,8,4,1,5,9,5,14,31,11,42,43,7,50,15,4,19,108,30,138
22,State,Rajasthan,1,0,1,1,0,1,0,0,0,37,10,47,37,8,45,5,1,6,81,19,100
23,State,Sikkim,1,0,1,0,0,0,0,0,0,6,0,6,7,1,8,1,0,1,15,1,16
24,State,Tamil Nadu,0,0,0,0,0,0,1,0,1,5,3,8,11,6,17,3,1,4,20,10,30
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,3,4,7,19,11,30,50,27,77,612,125,737,402,67,469,133,7,140,1219,241,1460
27,State,Uttarakhand,0,0,0,0,0,0,0,0,0,24,3,27,17,3,20,6,1,7,47,7,54
28,State,West Bengal,0,0,0,1,3,4,6,8,14,227,52,279,79,41,120,6,63,69,319,167,486
State,State,Total (states),38,31,69,50,21,71,101,53,154,1494,278,1772,1117,235,1352,280,107,387,3080,725,3805
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,1,2,3,2,0,2,1,0,1,4,2,6
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,2,2,4,0,0,0,1,0,1,34,3,37,31,0,31,1,0,1,69,5,74
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,6,0,6,2,2,4,0,2,2,8,4,12
Union Territory,Union Territory,Total (UTs),2,2,4,0,0,0,1,0,1,41,5,46,37,2,39,2,2,4,83,11,94
Total (All-India),Total (All-India),Total (All-India),40,33,73,50,21,71,102,53,155,1535,283,1818,1154,237,1391,282,109,391,3163,736,3899
