Sl. No.,Category,State/UT,Estimated Mid Year Population (in Lakhs)#,Murder (Sec. 302 IPC) - Incidence,Murder (Sec. 302 IPC) - Rate of Crime,Murder (Sec. 302 IPC) - Percentage share,Rape (Sec. 376 IPC) - Incidence,Rape (Sec. 376 IPC) - Rate of Crime,Rape (Sec. 376 IPC) - Percentage share,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Incidence","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Rate of Crime","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Percentage share",Dacoity (Sec. 395-398 IPC) - Incidence,Dacoity (Sec. 395-398 IPC) - Rate of Crime,Dacoity (Sec. 395-398 IPC) - Percentage share,"Robbery (Sec. 392-394,397,398 IPC) - Incidence","Robbery (Sec. 392-394,397,398 IPC) - Rate of Crime","Robbery (Sec. 392-394,397,398 IPC) - Percentage share","Arson (Sec. 435,436,438 IPC) - Incidence","Arson (Sec. 435,436,438 IPC) - Rate of Crime","Arson (Sec. 435,436,438 IPC) - Percentage share","Hurt (Sec. 323-333,335-338 IPC) - Incidence","Hurt (Sec. 323-333,335-338 IPC) - Rate of Crime","Hurt (Sec. 323-333,335-338 IPC) - Percentage share",Prot. of Civil Rights Act (1955) - Incidence,Prot.of Civil Rights Act (1955) - Rate of Crime,Prot.of Civil Rights Act (1955) - Percentage share,SC/ST Prev.of Attrocities Act (1989) - Incidence,SC/ST Prev.of Attrocities Act (1989) - Rate of Crime,SC/ST Prev.of Attrocities Act (1989) - Percentage share,Other offences - Incidence,Other offences - Rate of Crime,Other offences - Percentage share,Total - Incidence,Total - Rate of Crime,Total - Percentage share
1,State,Andhra Pradesh,846.65,9,0,6.3,46,0.1,6,5,0,3.6,0,0,0,0,0,0,0,0,0,112,0.1,13.9,3,0,42.9,233,0.3,20.2,397,0.5,14.7,805,1,14
2,State,Arunachal Pradesh,13.83,2,0.1,1.4,3,0.2,0.4,6,0.4,4.4,0,0,0,1,0.1,11.1,0,0,0,7,0.5,0.9,0,0,0,0,0,0,15,1.1,0.6,34,2.5,0.6
3,State,Assam,311.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,1,0,0,2,0,0
4,State,Bihar,1038.04,1,0,0.7,1,0,0.1,0,0,0,0,0,0,0,0,0,1,0,4.2,19,0,2.4,0,0,0,71,0.1,6.2,4,0,0.1,97,0.1,1.7
5,State,Chhattisgarh,255.4,22,0.1,15.4,90,0.4,11.7,6,0,4.4,0,0,0,2,0,22.2,0,0,0,67,0.3,8.3,0,0,0,1,0,0.1,148,0.6,5.5,336,1.3,5.8
6,State,Goa,14.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,1,0.1,0
7,State,Gujarat,603.83,9,0,6.3,20,0,2.6,16,0,11.7,1,0,14.3,1,0,11.1,3,0,12.5,42,0.1,5.2,0,0,0,23,0,2,38,0.1,1.4,153,0.3,2.7
8,State,Haryana,253.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Himachal Pradesh,68.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,0.3,0,0,0,4,0.1,0.1
10,State,Jammu & Kashmir,125.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,329.66,4,0,2.8,27,0.1,3.5,30,0.1,21.9,1,0,14.3,0,0,0,0,0,0,63,0.2,7.8,0,0,0,104,0.3,9,80,0.2,3,309,0.9,5.4
12,State,Karnataka,611.31,3,0,2.1,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2.1,4,0,57.1,162,0.3,14,97,0.2,3.6,285,0.5,5
13,State,Kerala,333.88,0,0,0,109,0.3,14.1,0,0,0,0,0,0,0,0,0,0,0,0,42,0.1,5.2,0,0,0,22,0.1,1.9,58,0.2,2.1,231,0.7,4
14,State,Madhya Pradesh,725.98,49,0.1,34.3,306,0.4,39.6,39,0.1,28.5,2,0,28.6,1,0,11.1,5,0,20.8,263,0.4,32.8,0,0,0,1,0,0.1,618,0.9,22.9,1284,1.8,22.3
15,State,Maharashtra,1123.73,16,0,11.2,57,0.1,7.4,11,0,8,3,0,42.9,2,0,22.2,4,0,16.7,18,0,2.2,0,0,0,61,0.1,5.3,149,0.1,5.5,321,0.3,5.6
16,State,Manipur,27.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
17,State,Meghalaya,29.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,19.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,419.47,6,0,4.2,45,0.1,5.8,4,0,2.9,0,0,0,0,0,0,3,0,12.5,20,0,2.5,0,0,0,406,1,35.2,0,0,0,484,1.2,8.4
21,State,Punjab,277.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Rajasthan,686.21,19,0,13.3,50,0.1,6.5,18,0,13.1,0,0,0,1,0,11.1,7,0,29.2,108,0.2,13.4,0,0,0,20,0,1.7,1040,1.5,38.5,1263,1.8,21.9
23,State,Sikkim,6.08,0,0,0,0,0,0,1,0.2,0.7,0,0,0,1,0.2,11.1,1,0.2,4.2,4,0.7,0.5,0,0,0,0,0,0,1,0.2,0,8,1.3,0.1
24,State,Tamil Nadu,721.39,0,0,0,3,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1.9,0,0,0,4,0,0.3,1,0,0,23,0,0.4
25,State,Tripura,36.71,1,0,0.7,7,0.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,6,0.2,0.7,0,0,0,1,0,0.1,15,0.4,0.6,30,0.8,0.5
26,State,Uttar Pradesh,1995.81,2,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1.6,15,0,0.6,35,0,0.6
27,State,Uttarakhand,101.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,State,West Bengal,913.48,0,0,0,4,0,0.5,1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1.6,17,0,0.6,41,0,0.7
State,State,Total (States),11901.11,143,0,100,770,0.1,99.7,137,0,100,7,0,100,9,0,100,24,0,100,803,0.1,100,7,0,100,1152,0.1,99.8,2695,0.2,99.8,5747,0.5,99.8
29,Union Territory,A & N Islands,3.8,0,0,0,1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.2,4,1.1,0.1,7,1.8,0.1
30,Union Territory,Chandigarh,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,3.43,0,0,0,1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,2,0.6,0
32,Union Territory,Daman & Diu,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,167.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,12.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),200.82,0,0,0,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,5,0,0.2,9,0,0.2
Total (All-India),Total (All-India),Total (All-India),12101.93,143,0,100,772,0.1,100,137,0,100,7,0,100,9,0,100,24,0,100,803,0.1,100,7,0,100,1154,0.1,100,2700,0.2,100,5756,0.5,100
