Sl. No.,Category,State/UT,Offences by / Against Public Servant,False electronic evidence,Destruction of electronic evidence,Forgery,Criminal Breach of Trust / Fraud,Counterfeiting - Property mark,Counterfeiting - Tampering,Counterfeiting - Currency / Stamps,Total
1,State,Andhra Pradesh,0,0,0,1,22,0,0,0,23
2,State,Arunachal Pradesh,0,0,0,0,1,0,0,0,1
3,State,Assam,0,0,0,0,0,0,0,0,0
4,State,Bihar,0,0,0,13,0,0,0,0,13
5,State,Chhattisgarh,0,0,0,60,11,0,5,0,76
6,State,Goa,0,0,0,2,0,0,0,0,2
7,State,Gujarat,0,0,8,2,4,1,0,0,15
8,State,Haryana,0,0,0,0,1,0,0,2,3
9,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,20,5,0,0,0,25
12,State,Karnataka,0,0,1,3,4,1,0,0,9
13,State,Kerala,0,0,0,8,10,0,0,0,18
14,State,Madhya Pradesh,0,1,0,4,8,0,0,0,13
15,State,Maharashtra,5,0,0,67,15,0,0,0,87
16,State,Manipur,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0
20,State,Odisha,0,0,0,0,5,0,0,0,5
21,State,Punjab,0,0,0,19,1,0,0,0,20
22,State,Rajasthan,1,0,0,19,2,2,0,0,24
23,State,Sikkim,1,0,0,0,0,0,0,0,1
24,State,Tamil Nadu,0,0,0,3,5,0,0,0,8
25,State,Tripura,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,0,0,0,10,3,0,0,0,13
27,State,Uttarakhand,0,0,0,0,0,0,0,0,0
28,State,West Bengal,0,0,0,14,0,0,0,0,14
State,State,Total (States),7,1,9,245,97,4,5,2,370
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,0,0,0,1,0,2,0,0,3
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,0,0,13,21,0,0,15,49
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),0,0,0,14,21,2,0,15,52
Total (All-India),Total (All-India),Total (All-India),7,1,9,259,118,6,5,17,422
