Sl. No. (Col.1),Category (Col.2),State/UT (Col.3),Category of Complaints Received - Oral (Col.4),Category of Complaints Received - Written (Col.5),Category of Complaints Received - Distress call over Phone 100 (Col. 6),Category of Complaints Received - Complaints Initiated Suomoto by Police (Col. 7),Category of Complaints Received - Total Complaints (Col.8),No. of Cases Registered Under - IPC (Col. 9),No. of Cases Registered Under - SLL (Col. 10),"Total (Col. 11) = (Col 9
+ Col 10)"
1,State,Andhra Pradesh,189174,247773,2568,12289,451804,189780,262024,451804
2,State,Arunachal Pradesh,129,1873,242,111,2355,2286,69,2355
3,State,Assam,335,67231,211,545,68322,66714,1608,68322
4,State,Bihar,16515,129161,0,1957,147633,135896,11737,147633
5,State,Chhattisgarh,101303,48115,160115,20968,330501,57218,273283,330501
6,State,Goa,1865,1050,12,3355,6282,3449,2833,6282
7,State,Gujarat,95511,169938,3414,76756,345619,123371,221212,344583
8,State,Haryana,0,60741,0,22235,82976,60741,22235,82976
9,State,Himachal Pradesh,3085,12889,370,2531,18875,14312,4563,18875
10,State,Jammu & Kashmir,4894,17422,515,3759,26590,24504,2086,26590
11,State,Jharkhand,7299,30502,815,887,39503,35838,3665,39503
12,State,Karnataka,31970,115400,467,14963,162800,137600,17233,154833
13,State,Kerala,109498,338101,29281,286024,762904,172137,246633,418770
14,State,Madhya Pradesh,277625,36867,413,20508,335413,217094,118319,335413
15,State,Maharashtra,281584,637615,16153,625938,1561290,204902,130222,335124
16,State,Manipur,4,3588,10,834,4436,3218,1218,4436
17,State,Meghalaya,40,2806,15,52,2913,2755,132,2887
18,State,Mizoram,64,2439,73,290,2866,1821,908,2729
19,State,Nagaland,20,886,213,306,1425,1083,342,1425
20,State,Odisha,172,73458,0,0,73630,61277,12353,73630
21,State,Punjab,12314,205114,13772,677,231877,34883,16406,51289
22,State,Rajasthan,6076,164381,777,53370,224604,165622,58982,224604
23,State,Sikkim,145,1347,3,59,1554,596,171,767
24,State,Tamil Nadu,40867,289295,1674,387251,719087,192879,526208,719087
25,State,Tripura,55,5791,0,105,5951,5803,148,5951
26,State,Uttar Pradesh,1032,197965,154,1886817,2085968,195135,1890833,2085968
27,State,Uttarakhand,692,11027,0,75351,87070,8774,78296,87070
28,State,West Bengal,35662,214920,10316,8177,269075,143197,11635,154832
State,State,Total (states),1217930,3087695,241583,3506115,8053323,2262885,3915354,6178239
29,Union Territory,A & N Islands,533,238,1,3793,4565,793,3772,4565
30,Union Territory,Chandigarh,0,13107,63453,17,76577,3542,687,4229
31,Union Territory,D & N Haveli,329,61,0,1,391,372,19,391
32,Union Territory,Daman & Diu,78,138,0,19,235,224,11,235
33,Union Territory,Delhi,62063,260658,14277774,18307,14618802,53353,5896,59249
34,Union Territory,Lakshadweep,0,41,1,13,55,44,11,55
35,Union Territory,Puducherry,1358,3073,0,1335,5766,4362,1404,5766
Union Territory,Union Territory,Total (UTs),64361,277316,14341229,23485,14706391,62690,11800,74490
Total (All-India),Total (All-India),Total (All-India),1282291,3365011,14582812,3529600,22759714,2325575,3927154,6252729
