Sl. No.,State/UT,2009,2010,2011,Percentage Variation in - 2010 over 2009,Percentage Variation in - 2011 over 2010
1,Andhra Pradesh,1394,1198,1349,-14.1,12.6
2,Assam,306,291,342,-4.9,17.5
3,Bihar,2342,2370,2347,1.2,-1
4,Chhattisgarh,358,407,277,13.7,-31.9
5,Gujarat,862,765,1030,-11.3,34.6
6,Haryana,1264,1199,1265,-5.1,5.5
7,Himachal Pradesh,9,17,24,88.9,41.2
8,Jammu & Kashmir,27,36,42,33.3,16.7
9,Jharkhand,592,584,635,-1.4,8.7
10,Karnataka,604,580,672,-4,15.9
11,Kerala,269,333,362,23.8,8.7
12,Madhya Pradesh,2192,1909,2409,-12.9,26.2
13,Maharashtra,4048,3896,4168,-3.8,7
14,Odisha,988,998,1140,1,14.2
15,Punjab,468,390,351,-16.7,-10
16,Rajasthan,928,766,820,-17.5,7
17,Tamil Nadu,660,842,745,27.6,-11.5
18,Tripura,NA,6,11,NA,83.3
18,Uttar Pradesh,2632,3933,5116,49.4,30.1
19,West Bengal,1105,1437,1658,30,15.4
20,Delhi UT,864,816,972,-5.6,19.1
Total (All-India),Total (All-India),21912,22773,25735,3.9,13
