Category (Col. 1),State/UT (Col. 2),Total No. of Cases for Investigation Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in Which - Investigation Refused (Col. 5),No. of Cases in Which - Investigation Completed - Charge Found False / Mistake of Fact or Law Etc. (Col. 6),No. of Cases in Which - Investigation Completed - Final Report True Submitted (Col. 7),No. of Cases in Which - Investigation Completed - Charge Sheets Submitted (Col. 8),No. of Cases in Which - Investigation Completed - Total (Col. 9) = Col. 6+7+8,No. of Cases Pending Investigation at the end of the year (Col. 10),Pendency Perentage (Col. 11),Percentage of Pendency to All India Total (Col. 12),Charge Sheeting Rate (Col. 13) = Col. ((8) (/7+8)*100)
State,Andhra Pradesh,1198,0,0,252,20,514,786,412,34.4,22.3,96.3
State,Arunachal Pradesh,36,0,0,0,2,20,22,14,38.9,0.8,90.9
State,Assam,97,0,0,5,1,11,17,80,82.5,4.3,91.7
State,Bihar,253,0,0,43,15,88,146,107,42.3,5.8,85.4
State,Chhattisgarh,403,1,0,0,10,340,350,52,12.9,2.8,97.1
State,Goa,1,0,0,0,0,0,0,1,100,0.1,NA
State,Gujarat,174,0,0,1,9,141,151,23,13.2,1.2,94
State,Haryana,0,0,0,0,0,0,0,0,NA,0,NA
State,Himachal Pradesh,5,0,0,0,0,1,1,4,80,0.2,100
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,NA,0,NA
State,Jharkhand,491,0,0,27,116,142,285,206,42,11.1,55
State,Karnataka,412,0,4,50,20,234,304,104,25.2,5.6,92.1
State,Kerala,267,0,0,29,34,78,141,126,47.2,6.8,69.6
State,Madhya Pradesh,1376,1,0,17,12,1245,1274,101,7.3,5.5,99
State,Maharashtra,435,1,3,32,4,286,322,109,25.1,5.9,98.6
State,Manipur,30,0,0,0,28,0,28,2,6.7,0.1,0
State,Meghalaya,0,0,0,0,0,0,0,0,NA,0,NA
State,Mizoram,0,0,0,0,0,0,0,0,NA,0,NA
State,Nagaland,0,0,0,0,0,0,0,0,NA,0,NA
State,Odisha,763,0,0,26,6,427,459,304,39.8,16.5,98.6
State,Punjab,0,0,0,0,0,0,0,0,NA,0,NA
State,Rajasthan,1408,0,0,785,10,511,1306,102,7.2,5.5,98.1
State,Sikkim,8,0,0,0,2,6,8,0,0,0,75
State,Tamil Nadu,28,0,0,4,0,4,8,20,71.4,1.1,100
State,Tripura,35,0,0,0,3,21,24,11,31.4,0.6,87.5
State,Uttar Pradesh,35,0,0,4,1,30,35,0,0,0,96.8
State,Uttarakhand,0,0,0,0,0,0,0,0,NA,0,NA
State,West Bengal,103,0,0,4,8,25,37,66,64.1,3.6,75.8
State,Total (States),7558,3,7,1279,301,4124,5704,1844,24.4,99.8,93.2
Union Territory,A & N Islands,9,0,0,0,0,7,7,2,22.2,0.1,100
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,NA,0,NA
Union Territory,D & N Haveli,4,0,0,0,2,1,3,1,25,0.1,33.3
Union Territory,Daman & Diu,1,0,0,0,0,0,0,1,100,0.1,0
Union Territory,Delhi,0,0,0,0,0,0,0,0,NA,0,NA
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,NA,0,NA
Union Territory,Puducherry,0,0,0,0,0,0,0,0,NA,0,NA
Union Territory,Total (UTs),14,0,0,0,2,8,10,4,28.6,0.2,80
Total,Total,7572,3,7,1279,303,4132,5714,1848,24.4,100,93.2
