Sl. No.,Category,State/UT,"No. of Police Personnel having Natural Death While in Service - 18-25
Years","No. of Police Personnel having Natural Death While in Service - 25-35
Years","No. of Police Personnel having Natural Death While in Service - 35-45
Years","No. of Police Personnel having Natural Death While in Service - 45-55
Years",No. of Police Personnel having Natural Death While in Service - Above 55 Years,No. of Police Personnel having Natural Death While in Service - Total,"No. of Police Personnel Committed Suicide While in Service - 18-25
Years","No. of Police Personnel Committed Suicide While in Service -25-35
Years","No. of Police Personnel Committed Suicide While in Service - 35-45
Years","No. of Police Personnel Committed Suicide While in Service - 45-55
Years",No. of Police Personnel Committed Suicide While in Service - Above 55 Years,No. of Police Personnel Committed Suicide While in Service - Total
1,State,Andhra Pradesh,0,14,48,51,18,131,2,1,4,6,1,14
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,1,0,4,2,7,0,0,0,1,0,1
4,State,Bihar,2,5,15,34,31,87,0,0,0,0,0,0
5,State,Chhattisgarh,2,18,22,20,9,71,0,1,3,3,1,8
6,State,Goa,0,0,3,0,1,4,0,1,0,0,0,1
7,State,Gujarat,1,9,43,108,22,183,0,0,2,1,2,5
8,State,Haryana,1,5,24,36,8,74,1,1,9,8,2,21
9,State,Himachal Pradesh,0,1,3,5,1,10,0,0,0,0,0,0
10,State,Jammu & Kashmir,0,11,10,20,4,45,0,1,1,0,0,2
11,State,Jharkhand,3,15,9,20,9,56,0,0,0,3,0,3
12,State,Karnataka,2,13,32,45,32,124,0,3,6,0,0,9
13,State,Kerala,0,3,11,35,0,49,0,0,0,4,0,4
14,State,Madhya Pradesh,2,13,39,75,19,148,0,0,1,1,0,2
15,State,Maharashtra,3,38,107,162,29,339,0,12,7,5,3,27
16,State,Manipur,1,3,5,0,3,12,0,0,0,0,0,0
17,State,Meghalaya,0,2,11,13,3,29,0,0,2,3,0,5
18,State,Mizoram,0,3,9,5,2,19,0,0,0,0,0,0
19,State,Nagaland,0,1,1,0,0,2,0,0,0,0,0,0
20,State,Odisha,0,2,4,25,1,32,0,2,0,4,2,8
21,State,Punjab,0,4,67,42,13,126,0,0,3,2,1,6
22,State,Rajasthan,1,3,19,45,8,76,0,1,0,2,1,4
23,State,Sikkim,5,3,0,5,2,15,0,0,0,0,0,0
24,State,Tamil Nadu,3,18,44,108,44,217,4,11,7,8,1,31
25,State,Tripura,0,4,2,12,0,18,0,0,0,2,0,2
26,State,Uttar Pradesh,3,13,112,223,165,516,0,3,5,3,0,11
27,State,Uttarakhand,3,4,1,13,3,24,0,1,0,0,0,1
28,State,West Bengal,0,13,70,58,52,193,1,1,2,1,7,12
State,State,Total (States),32,219,711,1164,481,2607,8,39,52,57,21,177
29,Union Territories,A & N Islands,0,1,3,0,3,7,0,0,2,0,0,2
30,Union Territories,Chandigarh,1,0,4,7,5,17,0,0,1,0,1,2
31,Union Territories,D & N Haveli,0,0,0,1,0,1,0,0,0,0,0,0
32,Union Territories,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territories,Delhi,5,11,43,83,40,182,1,2,4,3,1,11
34,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territories,Puducherry,0,0,3,2,3,8,0,0,0,0,0,0
Union Territories,Union Territories,Total (UTs),6,12,53,93,51,215,1,2,7,3,2,15
Total (All-India),Total (All-India),Total (All-India),38,231,764,1257,532,2822,9,41,59,60,23,192
